ZIP,emp
10001,0.0037295788397881946
10002,-0.35790973556895755
10003,-0.17464045965894048
10004,-0.05798184535744233
10005,-0.17224250658062323
10006,-0.05098232905279332
10007,-0.5047990401919615
10008,-0.27941176470588236
10009,-0.18125000000000002
10010,0.019808061420345524
10011,-0.24717438758185784
10012,0.22580021274538242
10013,0.026410147056500577
10014,-0.020294399442557287
10016,-0.1491007839319568
10017,-0.20327945683610738
10018,-0.16006894077644163
10019,-0.08493536625787201
10020,0.0677486818462989
10021,0.769995605361459
10022,-0.3796944180426134
10023,-0.02688693810931231
10024,-0.2963435214700919
10025,-0.06177228690783043
10026,-0.4069716775599128
10027,0.9892171121921862
10028,-0.20464726815993306
10029,-0.3457404712670088
10030,-0.5357802400738689
10031,-0.4981070166582534
10032,-0.5813233848111516
10033,-0.2995348837209302
10034,-0.43435191403626594
10035,-0.3613764766307139
10036,-0.14634116952440623
10037,0.23369725582767775
10038,-0.08500522117798659
10039,-0.5008635578583764
10040,-0.22078439179773046
10041,-0.019107564347532913
10044,-0.6421638822593476
10045,-1.0
10055,-0.6363931235809277
10065,-0.6869510224158527
10069,0.08904109589041087
10075,-0.7399925871015567
10080,-1.0
10087,-1.0
10101,0.9833333333333334
10103,-0.24801632282929043
10104,-0.6107444077741108
10105,-0.38765219530193085
10106,-0.28640958442530884
10107,-0.32902938557435446
10108,-1.0
10110,0.0032171581769437907
10111,-0.33895207148659623
10112,-1.0
10113,-0.96875
10115,0.6903114186851211
10116,-0.9663137632338787
10118,-0.10956699824458749
10119,-0.24903199510902796
10120,-0.7286676646706587
10121,0.7372280615986311
10122,0.13960833859759947
10123,-0.576303317535545
10128,-0.2673014715932389
10129,1.5517241379310347
10150,-1.0
10151,0.13682678311499274
10152,-0.3035964502568893
10153,0.3195090986034701
10154,-1.0
10155,-0.3170591614014934
10156,-0.9615384615384616
10158,-0.7569165287301962
10159,-0.979253112033195
10160,-1.0
10162,0.03658536585365857
10163,-0.8867924528301887
10165,-0.1923076923076923
10166,-0.8500416452533271
10167,-0.23041894353369763
10168,1.037173579109063
10169,-0.36447733580018504
10170,0.05161679052018475
10171,-0.38678973175656184
10172,3.7901234567901234
10173,-0.2708066581306018
10174,0.06581298391899937
10175,-0.28966914247130315
10176,0.5497803806734993
10177,-1.0
10178,-0.6183568838314368
10179,-1.0
10185,-0.9495798319327731
10199,-0.9469026548672567
10249,
10259,
10268,-1.0
10270,-1.0
10271,-0.6087013497575677
10272,-1.0
10274,-1.0
10276,-0.9767441860465116
10277,
10278,-0.8305825242718446
10279,-0.25424795468848327
10280,-0.17927527018436107
10281,0.5844975680430509
10282,-0.6099005711867993
10285,-1.0
10292,-1.0
10301,-0.35688671556642215
10302,-0.17233294255568576
10303,-0.14785373608903019
10304,-0.4085372201978137
10305,-0.10564675430828963
10306,-0.09600351339481772
10307,-0.42833539859562164
10308,-0.4703751617076326
10309,-0.11834056278500726
10310,-0.31328479476627624
10311,-0.5488958990536277
10312,-0.3396862289366648
10313,-1.0
10314,-0.34329293773506064
10451,-0.21577778784720647
10452,-0.3906144170295114
10453,-0.518502809882303
10454,-0.3567210837096214
10455,-0.3772742587601078
10456,-0.33404314415331915
10457,-0.5603462422054479
10458,-0.339036083774918
10459,-0.5446350043975374
10460,-0.19413960855300372
10461,-0.36174887749578066
10462,-0.08308605341246289
10463,-0.20440746570721835
10464,-0.1853171774768354
10465,0.301990193250649
10466,-0.4441747572815534
10467,0.4440753648442606
10468,-0.44373481430059003
10469,-0.3254087420754087
10470,-0.08737864077669899
10471,-0.15773600080426264
10472,-0.33460018242626943
10473,-0.381212452211906
10474,-0.22806221646143876
10475,-0.21725815168438123
10512,1346.5
10518,101.33333333333333
10528,924.2
10530,1825.5
10532,1594.3333333333333
10538,722.4
10540,116.4
10545,218.0
10547,718.6666666666666
10550,2675.4
10551,9.428571428571429
10553,204.55555555555554
10560,363.0
10567,100.45
10577,1848.8333333333333
