zip,naics,est,n1_4,n5_9,n10_19,n20_49,n50_99,n100_249,n250_499,n500_999,n1000
10001,------,7233,4275,1252,826,527,183,107,38,12,13
10001,21----,1,1,0,0,0,0,0,0,0,0
10001,212210,1,1,0,0,0,0,0,0,0,0
10001,23----,205,76,45,45,27,8,2,1,1,0
10001,233110,1,1,0,0,0,0,0,0,0,0
10001,233210,24,12,3,4,5,0,0,0,0,0
10001,233220,8,2,3,1,2,0,0,0,0,0
10001,233310,2,1,0,1,0,0,0,0,0,0
10001,233320,35,8,10,7,6,4,0,0,0,0
10001,234110,1,1,0,0,0,0,0,0,0,0
10001,234910,2,1,0,0,1,0,0,0,0,0
10001,234990,5,2,1,1,0,0,1,0,0,0
10001,235110,23,7,7,9,0,0,0,0,0,0
10001,235210,9,5,1,0,3,0,0,0,0,0
10001,235310,40,12,10,8,7,2,0,0,1,0
10001,235410,2,1,0,0,1,0,0,0,0,0
10001,235420,9,2,3,2,1,0,0,1,0,0
10001,235430,4,1,1,1,1,0,0,0,0,0
10001,235510,22,10,4,6,0,2,0,0,0,0
10001,235520,3,3,0,0,0,0,0,0,0,0
10001,235610,1,1,0,0,0,0,0,0,0,0
10001,235910,2,1,0,1,0,0,0,0,0,0
10001,235920,3,1,0,2,0,0,0,0,0,0
10001,235930,2,2,0,0,0,0,0,0,0,0
10001,235940,1,0,0,1,0,0,0,0,0,0
10001,235950,3,1,0,1,0,0,1,0,0,0
10001,235990,3,1,2,0,0,0,0,0,0,0
10001,31----,713,358,139,109,75,23,6,3,0,0
10001,311811,4,3,0,0,1,0,0,0,0,0
10001,311812,2,1,0,1,0,0,0,0,0,0
10001,313111,1,1,0,0,0,0,0,0,0,0
10001,313210,3,0,1,1,0,1,0,0,0,0
10001,313222,1,1,0,0,0,0,0,0,0,0
10001,313241,2,1,0,0,1,0,0,0,0,0
10001,313249,1,0,0,0,0,0,0,1,0,0
10001,313311,21,10,7,3,1,0,0,0,0,0
10001,313312,3,2,0,1,0,0,0,0,0,0
10001,313320,1,1,0,0,0,0,0,0,0,0
10001,314121,5,3,1,0,1,0,0,0,0,0
10001,314129,2,1,0,1,0,0,0,0,0,0
10001,314911,1,1,0,0,0,0,0,0,0,0
10001,314912,2,2,0,0,0,0,0,0,0,0
10001,314999,15,8,2,2,3,0,0,0,0,0
10001,315191,6,0,2,3,1,0,0,0,0,0
10001,315192,1,0,1,0,0,0,0,0,0,0
10001,315211,10,4,1,2,1,2,0,0,0,0
10001,315212,70,40,10,11,6,2,1,0,0,0
10001,315222,3,2,0,1,0,0,0,0,0,0
10001,315223,2,0,1,0,1,0,0,0,0,0
10001,315224,3,1,0,1,1,0,0,0,0,0
10001,315228,4,4,0,0,0,0,0,0,0,0
10001,315231,4,3,0,0,1,0,0,0,0,0
10001,315232,6,2,1,1,2,0,0,0,0,0
10001,315233,15,8,2,1,2,1,1,0,0,0
10001,315234,6,1,1,3,1,0,0,0,0,0
10001,315239,24,6,12,4,2,0,0,0,0,0
10001,315292,72,61,6,4,1,0,0,0,0,0
10001,315299,3,0,0,1,2,0,0,0,0,0
10001,315991,17,6,6,2,2,1,0,0,0,0
10001,315993,10,4,2,3,0,0,1,0,0,0
10001,315999,23,10,5,4,3,1,0,0,0,0
10001,316110,10,7,1,1,1,0,0,0,0,0
10001,316213,1,1,0,0,0,0,0,0,0,0
10001,316219,1,1,0,0,0,0,0,0,0,0
10001,316991,4,2,0,2,0,0,0,0,0,0
10001,316992,22,12,6,2,1,0,0,1,0,0
10001,316993,3,3,0,0,0,0,0,0,0,0
10001,316999,5,2,1,2,0,0,0,0,0,0
10001,321911,1,0,0,1,0,0,0,0,0,0
10001,321920,1,1,0,0,0,0,0,0,0,0
10001,322222,2,0,0,1,1,0,0,0,0,0
10001,322231,5,1,2,1,0,1,0,0,0,0
10001,323110,76,30,17,16,6,5,1,1,0,0
10001,323111,1,0,1,0,0,0,0,0,0,0
10001,323112,2,0,1,0,1,0,0,0,0,0
10001,323113,11,7,2,1,0,1,0,0,0,0
10001,323114,12,8,3,0,1,0,0,0,0,0
10001,323115,1,0,0,0,1,0,0,0,0,0
10001,323116,1,0,1,0,0,0,0,0,0,0
10001,323117,2,2,0,0,0,0,0,0,0,0
10001,323118,1,0,0,0,1,0,0,0,0,0
10001,323119,12,8,2,2,0,0,0,0,0,0
10001,323121,9,1,3,3,2,0,0,0,0,0
10001,323122,27,12,6,2,4,3,0,0,0,0
10001,325620,1,1,0,0,0,0,0,0,0,0
10001,326140,2,1,1,0,0,0,0,0,0,0
10001,327112,2,1,1,0,0,0,0,0,0,0
10001,327215,2,2,0,0,0,0,0,0,0,0
10001,327999,1,0,0,1,0,0,0,0,0,0
10001,331419,1,0,0,1,0,0,0,0,0,0
10001,331491,1,0,1,0,0,0,0,0,0,0
10001,331528,1,0,0,0,0,1,0,0,0,0
10001,332116,1,1,0,0,0,0,0,0,0,0
10001,332212,2,1,0,0,1,0,0,0,0,0
10001,332312,1,0,1,0,0,0,0,0,0,0
10001,332322,1,1,0,0,0,0,0,0,0,0
10001,332439,1,0,0,0,1,0,0,0,0,0
10001,332618,1,1,0,0,0,0,0,0,0,0
10001,332710,3,2,0,0,1,0,0,0,0,0
10001,332812,1,0,1,0,0,0,0,0,0,0
10001,332813,4,2,0,2,0,0,0,0,0,0
10001,332999,1,1,0,0,0,0,0,0,0,0
10001,333292,1,1,0,0,0,0,0,0,0,0
10001,333298,3,2,1,0,0,0,0,0,0,0
10001,333514,3,2,0,0,1,0,0,0,0,0
10001,333515,1,1,0,0,0,0,0,0,0,0
10001,333518,1,1,0,0,0,0,0,0,0,0
10001,334111,1,1,0,0,0,0,0,0,0,0
10001,334210,1,0,0,0,1,0,0,0,0,0
10001,334290,1,0,0,0,1,0,0,0,0,0
10001,334411,1,0,1,0,0,0,0,0,0,0
10001,334515,1,0,1,0,0,0,0,0,0,0
10001,334612,2,2,0,0,0,0,0,0,0,0
10001,335121,2,0,1,0,1,0,0,0,0,0
10001,335122,2,2,0,0,0,0,0,0,0,0
10001,336360,1,0,0,0,1,0,0,0,0,0
10001,337110,2,1,0,1,0,0,0,0,0,0
10001,337121,2,1,0,1,0,0,0,0,0,0
10001,337122,3,2,0,0,1,0,0,0,0,0
10001,337127,1,1,0,0,0,0,0,0,0,0
10001,337215,2,1,0,0,1,0,0,0,0,0
10001,337920,1,1,0,0,0,0,0,0,0,0
10001,339113,2,2,0,0,0,0,0,0,0,0
10001,339114,1,0,0,1,0,0,0,0,0,0
10001,339116,3,3,0,0,0,0,0,0,0,0
10001,339911,42,16,10,5,8,2,1,0,0,0
10001,339913,9,4,2,1,1,0,1,0,0,0
10001,339914,9,3,3,1,1,1,0,0,0,0
10001,339920,1,0,1,0,0,0,0,0,0,0
10001,339932,1,0,1,0,0,0,0,0,0,0
10001,339943,4,1,1,1,1,0,0,0,0,0
10001,339944,1,0,0,0,1,0,0,0,0,0
10001,339950,9,3,1,3,1,1,0,0,0,0
10001,339992,1,0,0,1,0,0,0,0,0,0
10001,339993,5,2,1,2,0,0,0,0,0,0
10001,339999,13,6,3,4,0,0,0,0,0,0
10001,42----,1898,1234,336,197,88,24,17,2,0,0
10001,421120,7,6,0,0,1,0,0,0,0,0
10001,421140,1,1,0,0,0,0,0,0,0,0
10001,421210,7,5,0,1,1,0,0,0,0,0
10001,421220,70,45,15,6,3,1,0,0,0,0
10001,421310,4,2,1,1,0,0,0,0,0,0
10001,421320,2,0,0,2,0,0,0,0,0,0
10001,421390,4,4,0,0,0,0,0,0,0,0
10001,421410,8,5,3,0,0,0,0,0,0,0
10001,421420,15,5,2,1,3,1,3,0,0,0
10001,421430,29,12,8,3,3,0,3,0,0,0
10001,421440,13,8,1,4,0,0,0,0,0,0
10001,421450,6,3,1,1,0,0,1,0,0,0
10001,421460,11,4,3,2,2,0,0,0,0,0
10001,421490,2,1,0,0,1,0,0,0,0,0
10001,421510,7,3,2,1,1,0,0,0,0,0
10001,421520,1,1,0,0,0,0,0,0,0,0
10001,421610,15,9,3,1,2,0,0,0,0,0
10001,421620,13,4,8,0,1,0,0,0,0,0
10001,421690,41,24,5,6,3,1,2,0,0,0
10001,421710,4,2,0,0,1,0,1,0,0,0
10001,421720,3,2,1,0,0,0,0,0,0,0
10001,421730,6,3,2,0,1,0,0,0,0,0
10001,421810,2,1,0,0,1,0,0,0,0,0
10001,421820,2,2,0,0,0,0,0,0,0,0
10001,421830,27,16,6,3,2,0,0,0,0,0
10001,421840,3,3,0,0,0,0,0,0,0,0
10001,421850,6,2,1,3,0,0,0,0,0,0
10001,421860,1,0,0,1,0,0,0,0,0,0
10001,421910,6,3,1,1,1,0,0,0,0,0
10001,421920,40,23,11,4,1,1,0,0,0,0
10001,421930,8,4,1,1,2,0,0,0,0,0
10001,421940,243,169,36,25,10,1,2,0,0,0
10001,421990,74,55,10,7,0,1,1,0,0,0
10001,422110,9,4,2,2,1,0,0,0,0,0
10001,422120,35,19,9,4,3,0,0,0,0,0
10001,422130,13,7,2,2,1,0,1,0,0,0
10001,422210,58,49,7,2,0,0,0,0,0,0
10001,422310,185,117,35,25,7,1,0,0,0,0
10001,422320,155,102,27,14,8,4,0,0,0,0
10001,422330,404,270,70,35,15,10,2,2,0,0
10001,422340,41,25,10,3,1,1,1,0,0,0
10001,422410,4,3,1,0,0,0,0,0,0,0
10001,422420,4,3,0,0,1,0,0,0,0,0
10001,422430,1,1,0,0,0,0,0,0,0,0
10001,422440,1,1,0,0,0,0,0,0,0,0
10001,422450,3,2,1,0,0,0,0,0,0,0
10001,422460,3,2,0,0,1,0,0,0,0,0
10001,422470,1,0,0,1,0,0,0,0,0,0
10001,422480,5,4,0,0,1,0,0,0,0,0
10001,422490,10,8,0,2,0,0,0,0,0,0
10001,422510,2,2,0,0,0,0,0,0,0,0
10001,422520,1,1,0,0,0,0,0,0,0,0
10001,422590,27,22,4,1,0,0,0,0,0,0
10001,422610,5,3,0,2,0,0,0,0,0,0
10001,422690,5,3,0,2,0,0,0,0,0,0
10001,422720,1,1,0,0,0,0,0,0,0,0
10001,422820,10,4,2,2,1,1,0,0,0,0
10001,422910,8,7,0,1,0,0,0,0,0,0
10001,422920,24,14,3,3,3,1,0,0,0,0
10001,422930,28,11,7,8,2,0,0,0,0,0
10001,422940,1,0,1,0,0,0,0,0,0,0
10001,422950,2,0,2,0,0,0,0,0,0,0
10001,422990,171,122,32,14,3,0,0,0,0,0
10001,44----,698,423,128,69,52,16,7,1,1,1
10001,441221,2,0,2,0,0,0,0,0,0,0
10001,441310,3,2,1,0,0,0,0,0,0,0
10001,442110,11,6,1,1,2,1,0,0,0,0
10001,442210,5,4,1,0,0,0,0,0,0,0
10001,442299,6,3,2,0,0,1,0,0,0,0
10001,443111,6,3,3,0,0,0,0,0,0,0
10001,443112,27,14,10,2,1,0,0,0,0,0
10001,443120,10,4,4,2,0,0,0,0,0,0
10001,443130,10,5,1,2,1,1,0,0,0,0
10001,444120,2,1,0,1,0,0,0,0,0,0
10001,444130,6,6,0,0,0,0,0,0,0,0
10001,444190,8,3,4,0,1,0,0,0,0,0
10001,444220,7,6,1,0,0,0,0,0,0,0
10001,445110,34,21,7,5,1,0,0,0,0,0
10001,445120,7,5,2,0,0,0,0,0,0,0
10001,445210,2,1,0,1,0,0,0,0,0,0
10001,445230,7,5,2,0,0,0,0,0,0,0
10001,445291,3,0,1,2,0,0,0,0,0,0
10001,445292,1,1,0,0,0,0,0,0,0,0
10001,445299,4,1,3,0,0,0,0,0,0,0
10001,445310,5,5,0,0,0,0,0,0,0,0
10001,446110,11,4,2,1,4,0,0,0,0,0
10001,446120,10,8,0,1,1,0,0,0,0,0
10001,446130,13,7,3,2,1,0,0,0,0,0
10001,446191,3,1,2,0,0,0,0,0,0,0
10001,446199,5,3,1,1,0,0,0,0,0,0
10001,447110,4,3,0,1,0,0,0,0,0,0
10001,447190,4,4,0,0,0,0,0,0,0,0
10001,448110,27,17,6,3,1,0,0,0,0,0
10001,448120,53,30,8,2,10,1,2,0,0,0
10001,448130,7,2,1,0,2,2,0,0,0,0
10001,448140,35,14,5,2,8,3,3,0,0,0
10001,448150,15,9,2,3,0,1,0,0,0,0
10001,448190,48,40,4,3,1,0,0,0,0,0
10001,448210,35,12,9,12,2,0,0,0,0,0
10001,448310,39,26,9,3,1,0,0,0,0,0
10001,448320,11,7,4,0,0,0,0,0,0,0
10001,451110,8,1,3,1,2,1,0,0,0,0
10001,451120,4,0,1,2,0,0,1,0,0,0
10001,451130,3,3,0,0,0,0,0,0,0,0
10001,451140,3,1,1,1,0,0,0,0,0,0
10001,451211,8,3,3,2,0,0,0,0,0,0
10001,451212,21,17,0,2,1,1,0,0,0,0
10001,451220,12,4,3,2,1,2,0,0,0,0
10001,452110,2,0,0,0,0,0,0,1,0,1
10001,452990,16,10,2,1,2,0,1,0,0,0
10001,453110,19,14,2,2,1,0,0,0,0,0
10001,453210,5,4,0,0,1,0,0,0,0,0
10001,453220,29,20,5,3,1,0,0,0,0,0
10001,453310,4,4,0,0,0,0,0,0,0,0
10001,453910,1,1,0,0,0,0,0,0,0,0
10001,453920,13,11,1,0,1,0,0,0,0,0
10001,453991,3,1,1,1,0,0,0,0,0,0
10001,453998,12,12,0,0,0,0,0,0,0,0
10001,454110,33,23,0,2,5,2,0,0,1,0
10001,454210,3,2,1,0,0,0,0,0,0,0
10001,454390,13,9,4,0,0,0,0,0,0,0
10001,48----,97,45,23,7,8,4,8,1,0,1
10001,481111,1,0,0,0,0,0,1,0,0,0
10001,481211,1,1,0,0,0,0,0,0,0,0
10001,483212,1,0,1,0,0,0,0,0,0,0
