zip,sic,est,n1_4,n5_9,n10_19,n20_49,n50_99,n100_249,n250_499,n500_999,n1000
10001,----,7088,4124,1264,815,543,189,108,19,16,10
10001,07--,10,8,2,0,0,0,0,0,0,0
10001,0740,1,1,0,0,0,0,0,0,0,0
10001,0750,4,3,1,0,0,0,0,0,0,0
10001,0780,5,4,1,0,0,0,0,0,0,0
10001,10--,1,1,0,0,0,0,0,0,0,0
10001,1010,1,1,0,0,0,0,0,0,0,0
10001,15--,174,68,44,30,21,7,2,1,1,0
10001,1500,13,8,3,0,2,0,0,0,0,0
10001,1510,40,11,11,11,4,3,0,0,0,0
10001,1620,3,0,1,0,1,1,0,0,0,0
10001,1700,6,4,2,0,0,0,0,0,0,0
10001,1710,27,9,12,5,1,0,0,0,0,0
10001,1720,10,6,1,2,1,0,0,0,0,0
10001,1730,32,10,6,7,6,1,0,1,1,0
10001,1741,2,1,0,1,0,0,0,0,0,0
10001,1742,8,1,2,3,2,0,0,0,0,0
10001,1743,3,2,1,0,0,0,0,0,0,0
10001,1751,15,11,1,0,1,1,1,0,0,0
10001,1752,3,2,1,0,0,0,0,0,0,0
10001,1791,1,0,0,0,1,0,0,0,0,0
10001,1793,2,2,0,0,0,0,0,0,0,0
10001,1794,1,1,0,0,0,0,0,0,0,0
10001,1795,1,0,0,0,1,0,0,0,0,0
10001,1796,4,0,1,1,1,0,1,0,0,0
10001,1799,3,0,2,0,0,1,0,0,0,0
10001,20--,902,422,173,143,105,36,18,3,2,0
10001,2011,1,1,0,0,0,0,0,0,0,0
10001,2051,2,1,1,0,0,0,0,0,0,0
10001,2053,1,0,0,0,0,1,0,0,0,0
10001,2087,1,1,0,0,0,0,0,0,0,0
10001,2100,1,0,0,0,1,0,0,0,0,0
10001,2200,5,3,2,0,0,0,0,0,0,0
10001,2210,1,0,0,1,0,0,0,0,0,0
10001,2220,5,3,1,0,1,0,0,0,0,0
10001,2230,1,1,0,0,0,0,0,0,0,0
10001,2240,1,0,1,0,0,0,0,0,0,0
10001,2252,1,0,1,0,0,0,0,0,0,0
10001,2253,1,0,0,1,0,0,0,0,0,0
