zip,naics,est,n1_4,n5_9,n10_19,n20_49,n50_99,n100_249,n250_499,n500_999,n1000
10001,------,7312,4356,1228,793,540,202,120,38,26,9
10001,22----,2,2,0,0,0,0,0,0,0,0
10001,221122,2,2,0,0,0,0,0,0,0,0
10001,23----,247,116,53,28,31,9,5,5,0,0
10001,236115,16,7,5,1,3,0,0,0,0,0
10001,236116,4,2,0,1,1,0,0,0,0,0
10001,236118,22,12,4,4,2,0,0,0,0,0
10001,236210,3,2,0,0,0,0,0,1,0,0
10001,236220,44,15,14,7,5,0,3,0,0,0
10001,237210,1,1,0,0,0,0,0,0,0,0
10001,237310,1,1,0,0,0,0,0,0,0,0
10001,238110,1,1,0,0,0,0,0,0,0,0
10001,238120,2,2,0,0,0,0,0,0,0,0
10001,238130,4,1,0,1,2,0,0,0,0,0
10001,238140,7,4,3,0,0,0,0,0,0,0
10001,238150,1,1,0,0,0,0,0,0,0,0
10001,238160,1,0,1,0,0,0,0,0,0,0
10001,238190,2,2,0,0,0,0,0,0,0,0
10001,238210,51,23,12,5,9,1,1,0,0,0
10001,238220,31,14,6,6,5,0,0,0,0,0
10001,238290,12,3,0,2,0,4,1,2,0,0
10001,238310,5,2,0,0,0,1,0,2,0,0
10001,238320,11,6,2,1,1,1,0,0,0,0
10001,238330,4,2,1,0,1,0,0,0,0,0
10001,238340,2,1,1,0,0,0,0,0,0,0
10001,238350,11,6,4,0,0,1,0,0,0,0
10001,238390,1,0,0,0,1,0,0,0,0,0
10001,238910,4,3,0,0,1,0,0,0,0,0
10001,238990,6,5,0,0,0,1,0,0,0,0
10001,31----,455,225,87,88,41,13,1,0,0,0
10001,311811,4,2,2,0,0,0,0,0,0,0
10001,311812,1,0,0,0,1,0,0,0,0,0
10001,311991,1,0,1,0,0,0,0,0,0,0
10001,311999,2,2,0,0,0,0,0,0,0,0
10001,312120,1,0,0,1,0,0,0,0,0,0
10001,313210,1,0,1,0,0,0,0,0,0,0
10001,313221,1,1,0,0,0,0,0,0,0,0
10001,313241,1,0,1,0,0,0,0,0,0,0
10001,313311,9,2,5,1,1,0,0,0,0,0
10001,313312,2,1,1,0,0,0,0,0,0,0
10001,313320,1,1,0,0,0,0,0,0,0,0
10001,314121,6,3,1,1,1,0,0,0,0,0
10001,314129,1,0,0,1,0,0,0,0,0,0
10001,314999,4,2,1,1,0,0,0,0,0,0
10001,315191,2,0,1,0,1,0,0,0,0,0
10001,315192,1,1,0,0,0,0,0,0,0,0
10001,315211,4,2,1,1,0,0,0,0,0,0
10001,315212,79,29,13,24,11,2,0,0,0,0
10001,315222,2,2,0,0,0,0,0,0,0,0
10001,315224,2,0,0,2,0,0,0,0,0,0
10001,315228,1,1,0,0,0,0,0,0,0,0
10001,315231,1,1,0,0,0,0,0,0,0,0
10001,315232,3,0,3,0,0,0,0,0,0,0
10001,315233,9,3,2,1,2,1,0,0,0,0
10001,315234,3,1,1,0,0,1,0,0,0,0
10001,315239,2,1,0,0,1,0,0,0,0,0
10001,315292,46,36,7,2,1,0,0,0,0,0
10001,315299,5,2,2,0,1,0,0,0,0,0
10001,315991,8,3,4,1,0,0,0,0,0,0
10001,315993,6,3,1,1,0,1,0,0,0,0
10001,315999,10,6,0,3,1,0,0,0,0,0
10001,316110,5,2,1,2,0,0,0,0,0,0
10001,316213,1,0,0,0,1,0,0,0,0,0
10001,316219,1,1,0,0,0,0,0,0,0,0
10001,316991,4,1,0,2,1,0,0,0,0,0
10001,316992,12,6,2,2,2,0,0,0,0,0
10001,316993,3,3,0,0,0,0,0,0,0,0
10001,316999,1,1,0,0,0,0,0,0,0,0
10001,321918,1,1,0,0,0,0,0,0,0,0
10001,321920,1,1,0,0,0,0,0,0,0,0
10001,322222,1,0,0,1,0,0,0,0,0,0
10001,322231,2,0,1,0,1,0,0,0,0,0
10001,323110,39,27,5,3,3,1,0,0,0,0
10001,323111,2,0,1,1,0,0,0,0,0,0
10001,323112,3,1,1,1,0,0,0,0,0,0
10001,323113,7,5,2,0,0,0,0,0,0,0
10001,323114,11,4,3,3,1,0,0,0,0,0
10001,323115,5,0,0,3,2,0,0,0,0,0
10001,323116,1,1,0,0,0,0,0,0,0,0
10001,323117,1,1,0,0,0,0,0,0,0,0
10001,323119,6,5,0,1,0,0,0,0,0,0
10001,323121,6,2,1,1,2,0,0,0,0,0
10001,323122,14,7,1,2,1,3,0,0,0,0
10001,325620,1,0,1,0,0,0,0,0,0,0
10001,326199,2,0,1,1,0,0,0,0,0,0
10001,327112,1,1,0,0,0,0,0,0,0,0
10001,327999,1,0,0,1,0,0,0,0,0,0
10001,331319,1,0,1,0,0,0,0,0,0,0
10001,331419,1,0,0,0,1,0,0,0,0,0
10001,331491,2,2,0,0,0,0,0,0,0,0
10001,331528,1,0,0,0,0,1,0,0,0,0
10001,332212,2,2,0,0,0,0,0,0,0,0
10001,332812,1,0,1,0,0,0,0,0,0,0
10001,332813,1,0,0,1,0,0,0,0,0,0
10001,333314,1,1,0,0,0,0,0,0,0,0
