zip,naics,est,n1_4,n5_9,n10_19,n20_49,n50_99,n100_249,n250_499,n500_999,n1000
10001,------,7472,4281,1320,812,615,235,132,40,24,13
10001,23----,243,93,45,47,31,17,6,4,0,0
10001,236115,16,10,2,3,1,0,0,0,0,0
10001,236116,1,1,0,0,0,0,0,0,0,0
10001,236117,1,1,0,0,0,0,0,0,0,0
10001,236118,26,13,6,4,1,2,0,0,0,0
10001,236210,2,1,0,0,1,0,0,0,0,0
10001,236220,46,12,10,12,7,2,2,1,0,0
10001,237110,1,0,1,0,0,0,0,0,0,0
10001,237130,1,0,0,0,1,0,0,0,0,0
10001,237310,1,1,0,0,0,0,0,0,0,0
10001,238120,3,2,1,0,0,0,0,0,0,0
10001,238130,4,3,0,0,0,1,0,0,0,0
10001,238140,5,3,0,1,1,0,0,0,0,0
10001,238150,1,1,0,0,0,0,0,0,0,0
10001,238160,2,2,0,0,0,0,0,0,0,0
10001,238190,2,1,1,0,0,0,0,0,0,0
10001,238210,54,12,15,12,11,4,0,0,0,0
10001,238220,27,11,2,8,5,1,0,0,0,0
10001,238290,11,2,1,1,0,4,2,1,0,0
10001,238310,3,2,0,0,0,0,0,1,0,0
10001,238320,12,5,2,2,0,1,1,1,0,0
10001,238330,5,3,0,0,1,1,0,0,0,0
10001,238340,2,0,0,1,1,0,0,0,0,0
10001,238350,12,5,4,1,1,1,0,0,0,0
10001,238390,1,0,0,0,0,0,1,0,0,0
10001,238990,4,2,0,2,0,0,0,0,0,0
10001,31----,352,186,72,51,36,6,1,0,0,0
10001,311330,1,0,1,0,0,0,0,0,0,0
10001,311421,1,0,0,1,0,0,0,0,0,0
10001,311511,1,1,0,0,0,0,0,0,0,0
10001,311811,5,4,1,0,0,0,0,0,0,0
10001,311821,1,1,0,0,0,0,0,0,0,0
10001,311991,1,0,0,1,0,0,0,0,0,0
10001,313210,1,0,1,0,0,0,0,0,0,0
10001,313221,2,2,0,0,0,0,0,0,0,0
10001,313249,1,0,0,1,0,0,0,0,0,0
10001,313311,4,0,3,0,1,0,0,0,0,0
10001,313312,4,3,1,0,0,0,0,0,0,0
10001,314121,5,4,0,0,1,0,0,0,0,0
10001,314911,1,1,0,0,0,0,0,0,0,0
10001,314999,16,12,1,3,0,0,0,0,0,0
10001,315211,2,0,1,1,0,0,0,0,0,0
10001,315212,34,10,10,8,6,0,0,0,0,0
10001,315222,4,2,2,0,0,0,0,0,0,0
10001,315228,1,0,0,0,1,0,0,0,0,0
10001,315232,2,1,1,0,0,0,0,0,0,0
10001,315233,8,4,3,1,0,0,0,0,0,0
10001,315234,3,1,1,0,1,0,0,0,0,0
10001,315239,3,2,0,0,1,0,0,0,0,0
10001,315292,29,24,2,3,0,0,0,0,0,0
10001,315299,6,1,3,0,1,1,0,0,0,0
10001,315991,5,3,2,0,0,0,0,0,0,0
10001,315993,3,2,0,0,0,1,0,0,0,0
10001,315999,3,2,0,1,0,0,0,0,0,0
10001,316110,4,2,0,2,0,0,0,0,0,0
10001,316991,2,1,0,1,0,0,0,0,0,0
10001,316992,11,4,4,0,3,0,0,0,0,0
10001,316999,4,1,0,1,2,0,0,0,0,0
10001,321918,2,2,0,0,0,0,0,0,0,0
10001,321920,1,1,0,0,0,0,0,0,0,0
10001,322222,1,0,0,1,0,0,0,0,0,0
10001,322231,2,0,1,0,1,0,0,0,0,0
10001,323110,32,24,3,2,3,0,0,0,0,0
10001,323111,1,1,0,0,0,0,0,0,0,0
10001,323112,2,1,1,0,0,0,0,0,0,0
10001,323113,9,4,5,0,0,0,0,0,0,0
10001,323114,8,3,3,0,2,0,0,0,0,0
10001,323115,9,3,0,1,5,0,0,0,0,0
10001,323116,1,1,0,0,0,0,0,0,0,0
10001,323117,2,1,0,1,0,0,0,0,0,0
10001,323119,5,3,1,1,0,0,0,0,0,0
10001,323121,2,2,0,0,0,0,0,0,0,0
10001,323122,10,3,4,0,1,1,1,0,0,0
10001,325312,1,0,0,1,0,0,0,0,0,0
10001,325412,1,1,0,0,0,0,0,0,0,0
10001,326199,1,0,1,0,0,0,0,0,0,0
10001,327112,1,1,0,0,0,0,0,0,0,0
10001,331319,1,0,0,1,0,0,0,0,0,0
10001,331419,1,0,0,0,1,0,0,0,0,0
10001,331421,1,0,0,1,0,0,0,0,0,0
10001,331491,1,1,0,0,0,0,0,0,0,0
10001,331525,1,0,0,1,0,0,0,0,0,0
10001,332212,1,1,0,0,0,0,0,0,0,0
10001,332813,2,0,1,1,0,0,0,0,0,0
10001,333314,1,1,0,0,0,0,0,0,0,0
10001,333514,1,0,0,1,0,0,0,0,0,0
10001,333515,1,1,0,0,0,0,0,0,0,0
10001,334111,1,1,0,0,0,0,0,0,0,0
10001,334112,1,0,0,1,0,0,0,0,0,0
10001,334220,1,0,1,0,0,0,0,0,0,0
10001,334411,1,0,1,0,0,0,0,0,0,0
10001,334413,1,0,1,0,0,0,0,0,0,0
10001,334518,1,1,0,0,0,0,0,0,0,0
10001,334611,1,0,0,1,0,0,0,0,0,0
10001,334612,3,2,1,0,0,0,0,0,0,0
10001,334613,1,1,0,0,0,0,0,0,0,0
10001,335121,1,0,0,0,1,0,0,0,0,0
10001,335122,1,1,0,0,0,0,0,0,0,0
10001,337121,2,1,0,1,0,0,0,0,0,0
10001,337122,2,2,0,0,0,0,0,0,0,0
10001,337215,1,1,0,0,0,0,0,0,0,0
10001,337920,1,0,1,0,0,0,0,0,0,0
10001,339116,4,3,1,0,0,0,0,0,0,0
10001,339911,18,8,3,3,2,2,0,0,0,0
10001,339913,1,1,0,0,0,0,0,0,0,0
10001,339914,10,7,1,2,0,0,0,0,0,0
10001,339932,1,0,0,1,0,0,0,0,0,0
10001,339943,2,1,1,0,0,0,0,0,0,0
10001,339950,6,4,0,1,0,1,0,0,0,0
10001,339992,2,0,0,0,2,0,0,0,0,0
10001,339993,4,3,1,0,0,0,0,0,0,0
10001,339999,15,6,3,5,1,0,0,0,0,0
10001,42----,1666,1061,299,165,93,27,19,2,0,0
10001,423110,1,0,0,0,1,0,0,0,0,0
10001,423120,4,3,0,1,0,0,0,0,0,0
10001,423130,2,2,0,0,0,0,0,0,0,0
10001,423210,20,8,6,4,0,1,1,0,0,0
10001,423220,63,32,18,6,5,1,1,0,0,0
10001,423310,2,1,1,0,0,0,0,0,0,0
10001,423320,3,1,0,1,1,0,0,0,0,0
10001,423330,1,1,0,0,0,0,0,0,0,0
10001,423410,5,0,2,2,0,1,0,0,0,0
10001,423420,17,6,3,2,2,1,3,0,0,0
10001,423430,21,7,3,2,7,0,0,2,0,0
10001,423440,7,4,1,1,1,0,0,0,0,0
10001,423450,4,2,1,0,1,0,0,0,0,0
10001,423460,17,10,4,2,1,0,0,0,0,0
10001,423490,2,0,1,1,0,0,0,0,0,0
10001,423510,1,0,1,0,0,0,0,0,0,0
10001,423520,1,1,0,0,0,0,0,0,0,0
10001,423610,15,8,4,2,1,0,0,0,0,0
10001,423620,20,15,3,2,0,0,0,0,0,0
10001,423690,26,13,4,5,3,1,0,0,0,0
10001,423710,3,3,0,0,0,0,0,0,0,0
10001,423720,5,1,2,2,0,0,0,0,0,0
10001,423730,4,1,1,1,1,0,0,0,0,0
10001,423740,1,0,1,0,0,0,0,0,0,0
10001,423820,1,1,0,0,0,0,0,0,0,0
10001,423830,17,11,4,1,1,0,0,0,0,0
10001,423840,3,2,0,0,1,0,0,0,0,0
10001,423850,6,5,1,0,0,0,0,0,0,0
10001,423910,10,5,3,1,1,0,0,0,0,0
10001,423920,28,17,7,2,2,0,0,0,0,0
10001,423930,9,7,1,1,0,0,0,0,0,0
10001,423940,274,177,55,31,9,1,1,0,0,0
10001,423990,46,27,13,2,4,0,0,0,0,0
10001,424110,4,0,0,4,0,0,0,0,0,0
10001,424120,15,6,3,4,2,0,0,0,0,0
10001,424130,13,8,3,1,1,0,0,0,0,0
10001,424210,62,53,2,7,0,0,0,0,0,0
10001,424310,87,60,15,8,4,0,0,0,0,0
10001,424320,118,83,18,6,7,4,0,0,0,0
10001,424330,345,214,62,29,18,12,10,0,0,0
10001,424340,28,13,6,2,5,1,1,0,0,0
10001,424410,3,2,0,0,1,0,0,0,0,0
10001,424420,2,2,0,0,0,0,0,0,0,0
10001,424450,1,1,0,0,0,0,0,0,0,0
10001,424460,2,1,0,0,1,0,0,0,0,0
10001,424470,1,0,0,1,0,0,0,0,0,0
10001,424480,2,1,1,0,0,0,0,0,0,0
10001,424490,7,5,1,1,0,0,0,0,0,0
10001,424590,17,14,2,0,1,0,0,0,0,0
10001,424610,5,4,0,1,0,0,0,0,0,0
10001,424690,4,2,0,1,1,0,0,0,0,0
10001,424810,1,1,0,0,0,0,0,0,0,0
10001,424820,16,5,2,5,3,1,0,0,0,0
10001,424910,3,3,0,0,0,0,0,0,0,0
10001,424920,13,7,3,1,0,2,0,0,0,0
10001,424930,23,10,4,9,0,0,0,0,0,0
10001,424940,3,1,2,0,0,0,0,0,0,0
10001,424950,2,1,0,1,0,0,0,0,0,0
10001,424990,122,91,16,9,4,0,2,0,0,0
10001,425110,1,1,0,0,0,0,0,0,0,0
10001,425120,127,101,19,3,3,1,0,0,0,0
10001,44----,726,469,122,55,45,18,13,2,0,2
10001,441110,2,1,0,0,0,1,0,0,0,0
10001,441221,1,1,0,0,0,0,0,0,0,0
10001,441320,1,1,0,0,0,0,0,0,0,0
10001,442110,10,8,0,0,1,0,1,0,0,0
10001,442210,6,4,1,1,0,0,0,0,0,0
10001,442291,2,2,0,0,0,0,0,0,0,0
10001,442299,5,4,0,1,0,0,0,0,0,0
10001,443111,3,3,0,0,0,0,0,0,0,0
10001,443112,22,12,5,4,1,0,0,0,0,0
10001,443120,8,6,1,0,1,0,0,0,0,0
10001,443130,6,4,0,1,0,0,0,0,0,1
10001,444110,2,2,0,0,0,0,0,0,0,0
10001,444120,4,3,0,1,0,0,0,0,0,0
10001,444130,7,4,2,1,0,0,0,0,0,0
10001,444190,6,4,1,1,0,0,0,0,0,0
10001,445110,28,16,8,1,2,1,0,0,0,0
10001,445120,1,1,0,0,0,0,0,0,0,0
10001,445210,2,1,1,0,0,0,0,0,0,0
10001,445230,2,2,0,0,0,0,0,0,0,0
10001,445291,4,0,2,2,0,0,0,0,0,0
10001,445292,3,3,0,0,0,0,0,0,0,0
10001,445299,4,4,0,0,0,0,0,0,0,0
10001,445310,7,4,1,1,1,0,0,0,0,0
10001,446110,19,9,2,3,4,1,0,0,0,0
10001,446120,29,24,2,2,0,1,0,0,0,0
10001,446130,10,4,3,2,1,0,0,0,0,0
10001,446191,7,1,5,1,0,0,0,0,0,0
10001,446199,1,1,0,0,0,0,0,0,0,0
10001,447110,2,2,0,0,0,0,0,0,0,0
10001,447190,1,1,0,0,0,0,0,0,0,0
10001,448110,24,17,6,0,1,0,0,0,0,0
10001,448120,42,20,8,4,5,3,2,0,0,0
10001,448130,3,0,1,1,1,0,0,0,0,0
10001,448140,26,6,3,2,3,7,5,0,0,0
10001,448150,26,22,4,0,0,0,0,0,0,0
10001,448190,39,31,3,0,2,1,1,1,0,0
10001,448210,24,8,5,2,8,1,0,0,0,0
10001,448310,43,35,4,2,2,0,0,0,0,0
10001,448320,5,4,0,1,0,0,0,0,0,0
10001,451110,7,3,2,0,2,0,0,0,0,0
10001,451120,5,1,2,0,0,1,0,1,0,0
10001,451130,8,6,1,1,0,0,0,0,0,0
10001,451140,2,2,0,0,0,0,0,0,0,0
10001,451211,9,5,2,1,1,0,0,0,0,0
10001,451212,22,19,1,1,0,0,1,0,0,0
10001,451220,5,5,0,0,0,0,0,0,0,0
10001,452111,1,0,0,0,0,0,0,0,0,1
10001,452112,1,1,0,0,0,0,0,0,0,0
10001,452990,9,6,1,0,1,0,1,0,0,0
10001,453110,29,19,6,3,1,0,0,0,0,0
10001,453210,6,3,0,1,1,1,0,0,0,0
10001,453220,23,19,1,3,0,0,0,0,0,0
10001,453310,5,4,1,0,0,0,0,0,0,0
10001,453910,1,1,0,0,0,0,0,0,0,0
10001,453920,92,68,16,6,2,0,0,0,0,0
10001,453930,1,1,0,0,0,0,0,0,0,0
10001,453991,2,2,0,0,0,0,0,0,0,0
10001,453998,12,6,5,1,0,0,0,0,0,0
10001,454111,16,8,5,1,1,0,1,0,0,0
10001,454112,2,0,1,1,0,0,0,0,0,0
10001,454113,14,7,3,1,2,0,1,0,0,0
10001,454390,17,8,7,1,1,0,0,0,0,0
10001,48----,88,46,12,8,14,4,2,1,1,0
10001,481111,1,0,0,1,0,0,0,0,0,0
10001,483211,1,1,0,0,0,0,0,0,0,0
10001,484110,4,3,0,0,1,0,0,0,0,0
10001,484210,5,3,0,0,1,0,1,0,0,0
10001,484220,2,1,1,0,0,0,0,0,0,0
10001,485310,2,2,0,0,0,0,0,0,0,0
10001,485320,3,2,0,0,1,0,0,0,0,0
10001,485999,1,0,1,0,0,0,0,0,0,0
10001,487990,2,0,1,0,1,0,0,0,0,0
10001,488119,1,0,0,0,1,0,0,0,0,0
10001,488510,22,9,7,4,2,0,0,0,0,0
10001,488991,3,3,0,0,0,0,0,0,0,0
10001,492110,22,14,1,2,5,0,0,0,0,0
10001,492210,14,6,0,1,1,3,1,1,1,0
10001,493110,4,2,0,0,1,1,0,0,0,0
10001,493120,1,0,1,0,0,0,0,0,0,0
10001,51----,386,206,74,41,34,22,5,1,3,0
10001,511110,15,7,3,0,3,1,0,0,1,0
10001,511120,36,8,11,9,5,3,0,0,0,0
10001,511130,16,5,4,2,3,1,1,0,0,0
10001,511140,7,2,0,2,1,1,1,0,0,0
10001,511191,1,1,0,0,0,0,0,0,0,0
10001,511199,8,5,1,2,0,0,0,0,0,0
10001,511210,19,5,6,3,4,1,0,0,0,0
10001,512110,98,67,17,6,6,1,0,1,0,0
10001,512120,4,2,1,0,1,0,0,0,0,0
10001,512131,4,2,0,1,0,1,0,0,0,0
10001,512191,26,17,3,2,4,0,0,0,0,0
10001,512199,3,2,0,0,0,1,0,0,0,0
10001,512210,4,4,0,0,0,0,0,0,0,0
10001,512220,9,7,1,1,0,0,0,0,0,0
10001,512230,8,4,2,0,1,0,1,0,0,0
10001,512240,19,14,4,1,0,0,0,0,0,0
10001,512290,5,4,0,1,0,0,0,0,0,0
10001,515111,1,1,0,0,0,0,0,0,0,0
10001,515112,3,0,1,1,1,0,0,0,0,0
10001,515120,6,2,1,1,0,1,0,0,1,0
10001,515210,6,3,0,0,1,2,0,0,0,0
10001,517110,15,10,1,1,1,1,1,0,0,0
10001,517210,9,5,2,0,2,0,0,0,0,0
10001,517410,1,1,0,0,0,0,0,0,0,0
10001,517911,4,0,1,2,0,1,0,0,0,0
10001,517919,7,3,3,0,0,1,0,0,0,0
10001,518210,24,11,4,4,0,4,1,0,0,0
10001,519110,3,0,1,1,0,0,0,0,1,0
10001,519130,22,13,6,1,0,2,0,0,0,0
10001,519190,3,1,1,0,1,0,0,0,0,0
10001,52----,227,105,38,33,29,11,4,5,1,1
10001,522110,39,7,6,13,7,4,0,2,0,0
10001,522120,4,0,3,1,0,0,0,0,0,0
10001,522130,4,2,1,0,1,0,0,0,0,0
10001,522220,11,5,1,1,2,0,1,1,0,0
10001,522291,7,3,0,0,2,1,1,0,0,0
10001,522292,5,2,1,1,1,0,0,0,0,0
10001,522293,2,2,0,0,0,0,0,0,0,0
10001,522298,6,0,2,1,3,0,0,0,0,0
10001,522310,8,5,1,1,1,0,0,0,0,0
10001,522320,6,3,1,0,1,0,1,0,0,0
10001,522390,11,7,2,1,1,0,0,0,0,0
10001,523110,3,2,0,0,1,0,0,0,0,0
10001,523120,13,8,1,0,1,2,0,0,1,0
10001,523130,3,3,0,0,0,0,0,0,0,0
10001,523140,2,0,1,1,0,0,0,0,0,0
10001,523910,6,3,1,2,0,0,0,0,0,0
10001,523920,18,9,3,4,1,0,1,0,0,0
10001,523930,14,10,2,1,1,0,0,0,0,0
10001,524113,12,4,2,2,2,2,0,0,0,0
10001,524114,4,0,0,0,1,1,0,1,0,1
10001,524126,1,0,0,0,0,0,0,1,0,0
10001,524210,37,24,8,4,1,0,0,0,0,0
10001,524291,3,1,2,0,0,0,0,0,0,0
10001,524292,4,3,0,0,1,0,0,0,0,0
10001,524298,3,1,0,0,1,1,0,0,0,0
10001,525990,1,1,0,0,0,0,0,0,0,0
10001,53----,429,271,75,58,18,5,1,1,0,0
10001,531110,80,53,10,12,4,1,0,0,0,0
10001,531120,155,94,37,19,2,2,0,1,0,0
10001,531130,6,4,0,2,0,0,0,0,0,0
10001,531190,5,4,0,1,0,0,0,0,0,0
10001,531210,44,38,1,3,1,1,0,0,0,0
10001,531311,46,25,12,5,2,1,1,0,0,0
10001,531312,29,17,6,4,2,0,0,0,0,0
10001,531390,16,12,1,2,1,0,0,0,0,0
10001,532111,10,6,3,1,0,0,0,0,0,0
10001,532112,1,1,0,0,0,0,0,0,0,0
10001,532120,2,1,1,0,0,0,0,0,0,0
