OBJECTID,zip_1,mid_03,mid_04,mid_05,mid_06,mid_07,mid_08,mid_09,mid_10,mid_11,mid_12,Shape_Length,Shape_Area,SS_SEED,SS_GROUP
106,11218,-0.228810507000000,-0.204415542000000,-0.215903571000000,-0.169192072000000,-0.208003373000000,-0.234476296000000,-0.252184248000000,-0.219347720000000,-0.225073995000000,-0.207282018000000,0.100920067641748,0.000394288544146,0,1
107,11369,-0.366978263000000,-0.365468089000000,-0.374841231000000,-0.368009743000000,-0.374565461000000,-0.355510849000000,-0.324583297000000,-0.323775223000000,-0.312672626000000,-0.320690243000000,0.092995848559705,0.000300102861082,0,1
108,10458,-0.198106561000000,-0.175133261000000,-0.158108059000000,-0.169192072000000,-0.166362851000000,-0.140338310000000,-0.208744818000000,-0.144756647000000,-0.137475364000000,-0.178929962000000,0.085509214293778,0.000275773104165,0,1
109,10461,0.032173034000000,-0.043362995000000,-0.013619277000000,-0.098185760000000,-0.041441285000000,-0.046200324000000,-0.034987100000000,-0.085083789000000,-0.137475364000000,-0.093873794000000,0.155619960659607,0.000659902331586,0,4
110,10465,-0.274866425000000,-0.292262386000000,-0.259250206000000,-0.268600907000000,-0.263524069000000,-0.234476296000000,-0.208744818000000,-0.234265935000000,-0.225073995000000,-0.249810103000000,0.241798753182393,0.000953345835126,0,1
111,11225,-0.428386155000000,-0.394750371000000,-0.374841231000000,-0.396412267000000,-0.388445635000000,-0.449648835000000,-0.382502536000000,-0.383448081000000,-0.429470801000000,-0.448274496000000,0.079728301799016,0.000246553209912,0,1
112,10304,-0.305570371000000,-0.380109230000000,-0.374841231000000,-0.339607218000000,-0.374565461000000,-0.368959133000000,-0.353542916000000,-0.398366296000000,-0.414871029000000,-0.405746412000000,0.243198105445408,0.001075368471017,0,1
113,10010,2.196801226000000,1.669650459000000,1.922530392000000,1.932594740000000,1.749101161000000,1.782766261000000,1.948746845000000,2.078057332000000,2.052490417000000,2.188466730000000,0.069430374997759,0.000109345379487,0,2
114,10001,0.538788143000000,4.114720945000000,4.118759868000000,4.062784075000000,4.400214396000000,4.405181585000000,4.381354896000000,4.375462385000000,4.519851863000000,4.385751085000000,0.090701438649509,0.000169099113698,0,3
115,10032,-0.290218398000000,-0.306903527000000,-0.288147962000000,-0.325405956000000,-0.319044765000000,-0.288269431000000,-0.310103487000000,-0.293938793000000,-0.312672626000000,-0.377394356000000,0.064545255068054,0.000180321209569,0,1
116,10464,-0.474442074000000,-0.482597215000000,-0.490432256000000,-0.481619841000000,-0.499487027000000,-0.489993686000000,-0.469381395000000,-0.487875584000000,-0.473270117000000,-0.476626552000000,0.297728401414166,0.000960446836993,0,1
117,11414,-0.459090101000000,-0.438673793000000,-0.447085621000000,-0.424814792000000,-0.416205983000000,-0.436200552000000,-0.454901585000000,-0.413284511000000,-0.429470801000000,-0.462450524000000,0.147176539893337,0.000660615409811,0,1
118,11203,-0.259514453000000,-0.233697824000000,-0.244801328000000,-0.268600907000000,-0.221883547000000,-0.221028012000000,-0.237704438000000,-0.279020579000000,-0.268873311000000,-0.249810103000000,0.100662428600110,0.000592458221129,0,1
