zip,naics,est,n1_4,n5_9,n10_19,n20_49,n50_99,n100_249,n250_499,n500_999,n1000
10001,------,7254,4227,1268,825,563,200,109,41,10,11
10001,11----,1,0,1,0,0,0,0,0,0,0
10001,114111,1,0,1,0,0,0,0,0,0,0
10001,21----,1,1,0,0,0,0,0,0,0,0
10001,212210,1,1,0,0,0,0,0,0,0,0
10001,23----,208,81,55,37,25,5,4,0,1,0
10001,233110,1,1,0,0,0,0,0,0,0,0
10001,233210,23,13,3,5,2,0,0,0,0,0
10001,233220,10,3,3,1,3,0,0,0,0,0
10001,233310,3,2,0,1,0,0,0,0,0,0
10001,233320,42,13,12,8,6,3,0,0,0,0
10001,234110,2,1,1,0,0,0,0,0,0,0
10001,234910,2,1,0,0,1,0,0,0,0,0
10001,234930,1,1,0,0,0,0,0,0,0,0
10001,234990,3,0,2,0,0,0,1,0,0,0
10001,235110,28,13,10,5,0,0,0,0,0,0
10001,235210,8,4,1,2,0,1,0,0,0,0
10001,235310,37,9,10,8,8,1,0,0,1,0
10001,235410,2,1,0,1,0,0,0,0,0,0
10001,235420,7,3,1,1,1,0,1,0,0,0
10001,235430,4,1,2,0,0,0,1,0,0,0
10001,235510,20,9,6,3,2,0,0,0,0,0
10001,235520,2,2,0,0,0,0,0,0,0,0
10001,235610,1,0,0,1,0,0,0,0,0,0
10001,235910,1,0,1,0,0,0,0,0,0,0
10001,235920,2,1,0,1,0,0,0,0,0,0
10001,235930,1,1,0,0,0,0,0,0,0,0
10001,235940,1,0,0,0,1,0,0,0,0,0
10001,235950,2,0,1,0,0,0,1,0,0,0
10001,235990,5,2,2,0,1,0,0,0,0,0
10001,31----,765,347,162,128,85,31,8,4,0,0
10001,311811,4,1,2,1,0,0,0,0,0,0
10001,311812,2,0,1,1,0,0,0,0,0,0
10001,313210,4,0,2,1,1,0,0,0,0,0
10001,313222,2,1,1,0,0,0,0,0,0,0
10001,313241,2,1,0,1,0,0,0,0,0,0
10001,313249,1,0,0,0,0,0,0,1,0,0
10001,313311,24,12,7,4,1,0,0,0,0,0
10001,313312,3,1,1,1,0,0,0,0,0,0
10001,313320,1,1,0,0,0,0,0,0,0,0
10001,314121,5,2,2,1,0,0,0,0,0,0
10001,314129,3,0,1,1,1,0,0,0,0,0
10001,314912,3,3,0,0,0,0,0,0,0,0
10001,314999,12,6,2,2,1,1,0,0,0,0
10001,315191,6,1,2,2,1,0,0,0,0,0
10001,315192,1,0,1,0,0,0,0,0,0,0
10001,315211,7,1,1,1,1,3,0,0,0,0
10001,315212,88,25,18,26,15,3,1,0,0,0
10001,315222,1,0,1,0,0,0,0,0,0,0
10001,315223,4,2,1,0,0,1,0,0,0,0
10001,315224,3,1,1,0,1,0,0,0,0,0
10001,315228,3,3,0,0,0,0,0,0,0,0
10001,315231,4,1,1,0,1,0,0,1,0,0
10001,315232,6,4,0,2,0,0,0,0,0,0
10001,315233,18,9,0,3,2,3,1,0,0,0
10001,315234,6,3,1,0,1,1,0,0,0,0
10001,315239,28,12,5,7,3,1,0,0,0,0
10001,315292,77,66,7,3,1,0,0,0,0,0
10001,315299,3,2,1,0,0,0,0,0,0,0
10001,315991,21,5,10,2,3,1,0,0,0,0
10001,315993,11,3,3,2,2,0,1,0,0,0
10001,315999,22,7,6,6,2,1,0,0,0,0
10001,316110,9,5,1,2,1,0,0,0,0,0
10001,316991,5,2,0,1,1,0,1,0,0,0
10001,316992,27,17,6,2,1,0,0,1,0,0
10001,316993,3,3,0,0,0,0,0,0,0,0
10001,316999,3,0,1,2,0,0,0,0,0,0
10001,321911,1,0,0,1,0,0,0,0,0,0
10001,321920,1,1,0,0,0,0,0,0,0,0
10001,322214,1,0,1,0,0,0,0,0,0,0
10001,322222,2,0,0,2,0,0,0,0,0,0
10001,322231,5,1,2,0,0,2,0,0,0,0
10001,323110,79,32,16,17,8,4,1,1,0,0
10001,323112,2,0,1,0,1,0,0,0,0,0
10001,323113,10,6,3,0,0,1,0,0,0,0
10001,323114,12,8,3,0,1,0,0,0,0,0
10001,323115,1,0,0,1,0,0,0,0,0,0
10001,323116,1,0,1,0,0,0,0,0,0,0
10001,323117,1,1,0,0,0,0,0,0,0,0
10001,323118,1,0,0,0,1,0,0,0,0,0
10001,323119,10,8,1,1,0,0,0,0,0,0
10001,323121,6,0,2,2,1,1,0,0,0,0
10001,323122,32,11,9,3,6,1,2,0,0,0
10001,325620,1,1,0,0,0,0,0,0,0,0
10001,326140,1,0,1,0,0,0,0,0,0,0
10001,326191,1,0,1,0,0,0,0,0,0,0
10001,326199,1,0,0,0,1,0,0,0,0,0
10001,327112,1,0,1,0,0,0,0,0,0,0
10001,327215,2,2,0,0,0,0,0,0,0,0
10001,331419,1,0,0,0,1,0,0,0,0,0
10001,331491,1,0,1,0,0,0,0,0,0,0
10001,331528,1,0,0,0,0,1,0,0,0,0
10001,332116,1,1,0,0,0,0,0,0,0,0
10001,332212,2,1,0,0,1,0,0,0,0,0
10001,332312,1,1,0,0,0,0,0,0,0,0
10001,332439,1,0,0,0,1,0,0,0,0,0
10001,332618,1,1,0,0,0,0,0,0,0,0
10001,332710,5,2,0,2,1,0,0,0,0,0
10001,332812,1,1,0,0,0,0,0,0,0,0
10001,332813,4,2,0,2,0,0,0,0,0,0
10001,332999,2,0,1,0,0,1,0,0,0,0
10001,333292,1,1,0,0,0,0,0,0,0,0
10001,333298,3,2,1,0,0,0,0,0,0,0
10001,333514,4,2,1,0,1,0,0,0,0,0
10001,333515,1,1,0,0,0,0,0,0,0,0
10001,334111,1,1,0,0,0,0,0,0,0,0
10001,334210,1,0,0,0,1,0,0,0,0,0
10001,334310,1,1,0,0,0,0,0,0,0,0
10001,334411,1,0,1,0,0,0,0,0,0,0
10001,334515,1,0,0,1,0,0,0,0,0,0
10001,334518,1,0,1,0,0,0,0,0,0,0
10001,334612,2,1,0,0,1,0,0,0,0,0
10001,335121,3,1,1,1,0,0,0,0,0,0
10001,335122,2,2,0,0,0,0,0,0,0,0
10001,336360,1,0,0,0,1,0,0,0,0,0
10001,337110,1,0,0,1,0,0,0,0,0,0
10001,337121,3,1,2,0,0,0,0,0,0,0
10001,337122,5,3,1,0,1,0,0,0,0,0
10001,337127,1,1,0,0,0,0,0,0,0,0
10001,337215,3,1,1,0,1,0,0,0,0,0
10001,337920,2,2,0,0,0,0,0,0,0,0
10001,339113,1,1,0,0,0,0,0,0,0,0
10001,339114,1,0,0,1,0,0,0,0,0,0
10001,339115,1,1,0,0,0,0,0,0,0,0
10001,339116,4,3,1,0,0,0,0,0,0,0
10001,339911,48,16,13,9,8,2,0,0,0,0
10001,339913,8,5,0,1,1,0,1,0,0,0
10001,339914,9,3,2,1,2,1,0,0,0,0
10001,339920,1,1,0,0,0,0,0,0,0,0
10001,339932,1,0,1,0,0,0,0,0,0,0
10001,339943,4,1,0,2,1,0,0,0,0,0
10001,339944,1,0,0,0,1,0,0,0,0,0
10001,339950,14,5,2,3,2,2,0,0,0,0
10001,339993,6,2,1,2,1,0,0,0,0,0
10001,339994,1,1,0,0,0,0,0,0,0,0
10001,339999,12,8,3,1,0,0,0,0,0,0
10001,42----,1946,1280,336,194,94,21,18,3,0,0
10001,421120,4,3,1,0,0,0,0,0,0,0
10001,421210,6,4,0,1,1,0,0,0,0,0
10001,421220,69,41,20,5,3,0,0,0,0,0
10001,421310,4,3,1,0,0,0,0,0,0,0
10001,421320,2,0,1,1,0,0,0,0,0,0
10001,421390,3,3,0,0,0,0,0,0,0,0
10001,421410,9,6,3,0,0,0,0,0,0,0
10001,421420,15,7,1,1,3,0,3,0,0,0
10001,421430,30,18,4,4,1,1,2,0,0,0
10001,421440,16,9,4,3,0,0,0,0,0,0
10001,421450,7,3,1,0,2,0,1,0,0,0
10001,421460,11,5,3,2,1,0,0,0,0,0
10001,421490,2,1,0,0,1,0,0,0,0,0
10001,421510,8,4,2,1,1,0,0,0,0,0
10001,421520,2,2,0,0,0,0,0,0,0,0
10001,421610,14,8,3,2,1,0,0,0,0,0
10001,421620,17,8,7,1,1,0,0,0,0,0
10001,421690,47,26,9,4,4,2,2,0,0,0
10001,421710,4,2,0,0,1,1,0,0,0,0
10001,421720,2,1,1,0,0,0,0,0,0,0
10001,421730,7,5,1,0,1,0,0,0,0,0
10001,421810,1,1,0,0,0,0,0,0,0,0
10001,421820,2,2,0,0,0,0,0,0,0,0
10001,421830,23,11,6,3,3,0,0,0,0,0
10001,421840,2,2,0,0,0,0,0,0,0,0
10001,421850,7,2,2,1,2,0,0,0,0,0
10001,421860,1,0,0,1,0,0,0,0,0,0
10001,421910,8,5,2,0,1,0,0,0,0,0
10001,421920,31,17,8,5,0,1,0,0,0,0
10001,421930,8,4,1,2,1,0,0,0,0,0
10001,421940,247,172,40,23,9,1,2,0,0,0
10001,421990,57,37,12,5,1,0,2,0,0,0
10001,422110,10,5,2,1,2,0,0,0,0,0
10001,422120,35,20,8,4,3,0,0,0,0,0
10001,422130,14,7,1,3,1,1,1,0,0,0
10001,422210,58,49,7,2,0,0,0,0,0,0
10001,422310,180,115,30,27,8,0,0,0,0,0
10001,422320,169,116,27,14,8,3,0,1,0,0
10001,422330,444,307,69,37,18,8,3,2,0,0
10001,422340,39,27,5,4,1,1,1,0,0,0
10001,422410,5,5,0,0,0,0,0,0,0,0
10001,422420,4,3,0,0,1,0,0,0,0,0
10001,422430,1,1,0,0,0,0,0,0,0,0
10001,422440,1,1,0,0,0,0,0,0,0,0
10001,422450,3,1,2,0,0,0,0,0,0,0
10001,422460,2,1,0,0,1,0,0,0,0,0
10001,422470,1,0,0,1,0,0,0,0,0,0
10001,422480,3,0,1,1,1,0,0,0,0,0
10001,422490,10,9,0,1,0,0,0,0,0,0
10001,422520,1,1,0,0,0,0,0,0,0,0
10001,422590,29,21,6,2,0,0,0,0,0,0
10001,422610,6,4,0,2,0,0,0,0,0,0
10001,422690,6,4,0,1,1,0,0,0,0,0
10001,422820,9,4,0,3,1,1,0,0,0,0
10001,422910,9,8,0,1,0,0,0,0,0,0
10001,422920,25,15,3,3,3,1,0,0,0,0
10001,422930,32,15,7,8,2,0,0,0,0,0
10001,422940,1,0,1,0,0,0,0,0,0,0
10001,422950,2,1,1,0,0,0,0,0,0,0
10001,422990,181,128,33,14,5,0,1,0,0,0
10001,44----,686,439,114,60,45,18,6,3,0,1
10001,441110,1,0,0,0,1,0,0,0,0,0
10001,441310,3,2,1,0,0,0,0,0,0,0
10001,442110,12,8,1,2,0,1,0,0,0,0
