zip,naics,est,n1_4,n5_9,n10_19,n20_49,n50_99,n100_249,n250_499,n500_999,n1000
10001,------,7241,4273,1266,734,565,200,130,40,22,11
10001,11----,1,1,0,0,0,0,0,0,0,0
10001,115210,1,1,0,0,0,0,0,0,0,0
10001,22----,2,0,1,0,1,0,0,0,0,0
10001,221122,1,0,1,0,0,0,0,0,0,0
10001,221330,1,0,0,0,1,0,0,0,0,0
10001,23----,233,105,54,34,22,8,9,1,0,0
10001,236115,11,7,3,1,0,0,0,0,0,0
10001,236116,1,1,0,0,0,0,0,0,0,0
10001,236117,1,1,0,0,0,0,0,0,0,0
10001,236118,25,12,5,5,2,1,0,0,0,0
10001,236210,1,0,0,1,0,0,0,0,0,0
10001,236220,43,15,14,4,6,2,2,0,0,0
10001,237110,1,0,0,1,0,0,0,0,0,0
10001,237130,1,1,0,0,0,0,0,0,0,0
10001,237210,1,1,0,0,0,0,0,0,0,0
10001,237310,1,1,0,0,0,0,0,0,0,0
10001,238120,3,2,1,0,0,0,0,0,0,0
10001,238130,6,4,0,1,1,0,0,0,0,0
10001,238140,5,3,1,1,0,0,0,0,0,0
10001,238150,1,1,0,0,0,0,0,0,0,0
10001,238160,2,2,0,0,0,0,0,0,0,0
10001,238190,2,2,0,0,0,0,0,0,0,0
10001,238210,57,24,16,9,6,1,1,0,0,0
10001,238220,26,10,6,5,5,0,0,0,0,0
10001,238290,9,1,1,2,1,0,3,1,0,0
10001,238310,6,4,1,0,0,0,1,0,0,0
10001,238320,10,3,3,1,0,2,1,0,0,0
10001,238330,5,3,0,1,0,1,0,0,0,0
10001,238340,1,0,1,0,0,0,0,0,0,0
10001,238350,8,4,2,0,1,1,0,0,0,0
10001,238390,1,0,0,0,0,0,1,0,0,0
10001,238910,2,2,0,0,0,0,0,0,0,0
10001,238990,3,1,0,2,0,0,0,0,0,0
10001,31----,289,175,50,35,27,2,0,0,0,0
10001,311330,1,1,0,0,0,0,0,0,0,0
10001,311421,1,0,0,0,1,0,0,0,0,0
10001,311511,1,0,1,0,0,0,0,0,0,0
10001,311811,4,3,1,0,0,0,0,0,0,0
10001,311991,1,0,0,1,0,0,0,0,0,0
10001,312130,1,1,0,0,0,0,0,0,0,0
10001,313210,1,1,0,0,0,0,0,0,0,0
10001,313221,1,1,0,0,0,0,0,0,0,0
10001,313249,1,1,0,0,0,0,0,0,0,0
10001,313311,2,0,2,0,0,0,0,0,0,0
10001,313312,2,1,1,0,0,0,0,0,0,0
10001,314121,3,2,0,1,0,0,0,0,0,0
10001,314911,2,1,0,1,0,0,0,0,0,0
10001,314999,1,1,0,0,0,0,0,0,0,0
10001,315191,1,1,0,0,0,0,0,0,0,0
10001,315211,3,1,1,1,0,0,0,0,0,0
10001,315212,38,17,7,9,5,0,0,0,0,0
10001,315222,3,2,1,0,0,0,0,0,0,0
10001,315223,1,0,1,0,0,0,0,0,0,0
10001,315232,3,2,1,0,0,0,0,0,0,0
10001,315233,7,4,1,1,0,1,0,0,0,0
10001,315234,3,2,1,0,0,0,0,0,0,0
10001,315239,2,2,0,0,0,0,0,0,0,0
