zip,sic,est,n1_4,n5_9,n10_19,n20_49,n50_99,n100_249,n250_499,n500_999,n1000
10001,3172,2,1,1,0,0,0,0,0,0,0
10001,3190,4,0,1,3,0,0,0,0,0,0
10001,3230,3,3,0,0,0,0,0,0,0,0
10001,3269,1,0,1,0,0,0,0,0,0,0
10001,3299,1,0,0,1,0,0,0,0,0,0
10001,3321,1,1,0,0,0,0,0,0,0,0
10001,3340,1,0,0,1,0,0,0,0,0,0
10001,3356,1,0,1,0,0,0,0,0,0,0
10001,3369,1,0,0,0,0,1,0,0,0,0
10001,3423,2,1,0,0,1,0,0,0,0,0
10001,3469,1,1,0,0,0,0,0,0,0,0
10001,3471,7,1,3,2,1,0,0,0,0,0
10001,3479,1,1,0,0,0,0,0,0,0,0
10001,3499,2,0,0,0,0,2,0,0,0,0
10001,3544,3,1,1,0,1,0,0,0,0,0
10001,3545,1,0,0,1,0,0,0,0,0,0
10001,3549,1,1,0,0,0,0,0,0,0,0
10001,3552,1,1,0,0,0,0,0,0,0,0
10001,3559,3,2,0,1,0,0,0,0,0,0
10001,3571,1,1,0,0,0,0,0,0,0,0
10001,3577,1,0,1,0,0,0,0,0,0,0
10001,3599,2,2,0,0,0,0,0,0,0,0
10001,3634,1,1,0,0,0,0,0,0,0,0
10001,3639,1,1,0,0,0,0,0,0,0,0
10001,3644,1,1,0,0,0,0,0,0,0,0
10001,3645,1,0,0,1,0,0,0,0,0,0
10001,3651,1,1,0,0,0,0,0,0,0,0
10001,3661,1,0,0,0,0,1,0,0,0,0
10001,3671,1,0,1,0,0,0,0,0,0,0
10001,3695,2,0,1,0,1,0,0,0,0,0
10001,3800,1,1,0,0,0,0,0,0,0,0
10001,3825,1,0,0,1,0,0,0,0,0,0
10001,3842,1,1,0,0,0,0,0,0,0,0
10001,3850,1,0,0,0,1,0,0,0,0,0
10001,3870,1,0,0,1,0,0,0,0,0,0
10001,3900,1,1,0,0,0,0,0,0,0,0
10001,3911,50,17,12,11,8,2,0,0,0,0
10001,3915,4,2,0,0,2,0,0,0,0,0
10001,3944,1,1,0,0,0,0,0,0,0,0
10001,3949,1,1,0,0,0,0,0,0,0,0
10001,3953,3,0,1,1,1,0,0,0,0,0
10001,3955,1,0,0,1,0,0,0,0,0,0
10001,3961,12,6,3,1,1,1,0,0,0,0
10001,3965,5,2,0,2,1,0,0,0,0,0
10001,3993,12,2,3,3,2,2,0,0,0,0
10001,3999,9,5,2,1,1,0,0,0,0,0
10001,399\,18,3,5,1,6,1,1,1,0,0
10001,40--,237,143,41,14,14,11,8,4,1,1
10001,4100,1,0,0,1,0,0,0,0,0,0
10001,4119,1,0,1,0,0,0,0,0,0,0
10001,4120,5,5,0,0,0,0,0,0,0,0
10001,4200,1,0,0,0,0,1,0,0,0,0
10001,4210,47,22,10,4,3,4,1,2,0,1
10001,4220,1,1,0,0,0,0,0,0,0,0
10001,4222,1,0,1,0,0,0,0,0,0,0
10001,4226,3,2,0,0,0,1,0,0,0,0
10001,4400,1,1,0,0,0,0,0,0,0,0
10001,4410,1,1,0,0,0,0,0,0,0,0
