OBJECTID,zip_1,large_03,large_04,large_05,large_06,large_07,large_08,large_09,large_10,large_11,large_12,Shape_Length,Shape_Area,SS_SEED,SS_GROUP
1,11360,-0.415097845000000,-0.430127004000000,-0.429382833000000,-0.422440368000000,-0.429625748000000,-0.426062125000000,-0.425407392000000,-0.437088465000000,-0.443068944000000,-0.437607163000000,0.098713633271122,0.000393387285851,0,2
2,10009,-0.348567592000000,-0.360059550000000,-0.361602613000000,-0.292026724000000,-0.297189492000000,-0.362593141000000,-0.357897790000000,-0.297193382000000,-0.238650822000000,-0.238781300000000,0.052315989484037,0.000170273884226,0,2
3,10162,-0.481628097000000,-0.500194459000000,-0.497163054000000,-0.487647190000000,-0.495843875000000,-0.489531109000000,-0.492916993000000,-0.507036006000000,-0.511208318000000,-0.503882451000000,0.008956998717849,0.000003222074555,0,2
4,11422,-0.481628097000000,-0.430127004000000,-0.429382833000000,-0.487647190000000,-0.495843875000000,-0.489531109000000,-0.425407392000000,-0.507036006000000,-0.511208318000000,-0.503882451000000,0.162934011696676,0.000559066066309,0,2
5,10177,-0.415097845000000,-0.430127004000000,-0.429382833000000,-0.422440368000000,-0.429625748000000,-0.362593141000000,-0.425407392000000,-0.367140923000000,-0.443068944000000,-0.437607163000000,0.002750989173354,0.000000288902492,0,2
6,10466,-0.148976834000000,-0.079789733000000,-0.226042171000000,-0.226819902000000,-0.164753237000000,-0.108717207000000,-0.290388189000000,-0.297193382000000,-0.306790196000000,-0.305056588000000,0.123069695864478,0.000554638083758,0,2
7,11106,-0.215507087000000,-0.219924641000000,-0.226042171000000,-0.357233546000000,-0.230971364000000,-0.299124158000000,-0.290388189000000,-0.297193382000000,-0.374929570000000,-0.238781300000000,0.069944542403470,0.000237466597522,0,2
8,10453,-0.348567592000000,-0.360059550000000,-0.361602613000000,-0.422440368000000,-0.495843875000000,-0.426062125000000,-0.425407392000000,-0.437088465000000,-0.374929570000000,-0.437607163000000,0.073280191271487,0.000252400694476,0,2
9,11366,-0.481628097000000,-0.430127004000000,-0.429382833000000,-0.422440368000000,-0.495843875000000,-0.489531109000000,-0.492916993000000,-0.507036006000000,-0.511208318000000,-0.437607163000000,0.137447867447827,0.000304363272589,0,2
10,11228,-0.415097845000000,-0.430127004000000,-0.429382833000000,-0.422440368000000,-0.429625748000000,-0.426062125000000,-0.425407392000000,-0.507036006000000,-0.443068944000000,-0.503882451000000,0.105676824824470,0.000402525874078,0,2
11,11214,-0.215507087000000,-0.149857187000000,-0.090481730000000,-0.161613080000000,-0.164753237000000,-0.172186190000000,-0.087859385000000,-0.157298299000000,-0.102372074000000,-0.106230724000000,0.134175311382824,0.000597631823604,0,1
12,11231,-0.415097845000000,-0.430127004000000,-0.497163054000000,-0.422440368000000,-0.164753237000000,-0.362593141000000,-0.357897790000000,-0.367140923000000,-0.374929570000000,-0.305056588000000,0.118063401514166,0.000408731699815,0,2
13,10006,0.449795441000000,0.550817356000000,0.383979815000000,0.229627851000000,0.166337402000000,-0.045248223000000,0.317198222000000,0.192439408000000,0.306464170000000,0.291421002000000,0.021477933971930,0.000026640556378,0,1
14,10128,-0.082446581000000,-0.079789733000000,-0.293822392000000,-0.226819902000000,-0.230971364000000,-0.108717207000000,-0.087859385000000,-0.087350758000000,0.033906674000000,-0.106230724000000,0.059498730376103,0.000130126293332,0,1
15,11355,-0.215507087000000,-0.289992096000000,-0.226042171000000,-0.226819902000000,-0.164753237000000,-0.172186190000000,-0.222878588000000,-0.297193382000000,-0.238650822000000,-0.172506012000000,0.109187218289639,0.000478531415515,0,2
16,10169,-0.481628097000000,-0.430127004000000,-0.497163054000000,-0.487647190000000,-0.429625748000000,-0.426062125000000,-0.492916993000000,-0.507036006000000,-0.374929570000000,-0.305056588000000,0.004360998165473,0.000001058464070,0,2
17,10103,0.117144177000000,0.340614993000000,0.045078711000000,-0.031199436000000,-0.230971364000000,-0.235655174000000,-0.222878588000000,-0.227245841000000,-0.170511448000000,-0.238781300000000,0.008549486987410,0.000002642222869,0,1
18,11102,-0.215507087000000,-0.289992096000000,-0.226042171000000,-0.161613080000000,-0.230971364000000,-0.172186190000000,-0.155368987000000,-0.297193382000000,-0.306790196000000,-0.238781300000000,0.077132015500820,0.000230656523003,0,2
19,10153,-0.415097845000000,-0.430127004000000,-0.361602613000000,-0.357233546000000,-0.032316981000000,-0.108717207000000,-0.155368987000000,-0.157298299000000,-0.102372074000000,-0.172506012000000,0.005027402551171,0.000001309821267,0,2
20,10154,-0.215507087000000,-0.219924641000000,-0.293822392000000,-0.292026724000000,-0.230971364000000,-0.235655174000000,-0.222878588000000,-0.297193382000000,-0.306790196000000,-0.305056588000000,0.005056376745689,0.000001320456167,0,2
21,10302,-0.282037339000000,-0.289992096000000,-0.293822392000000,-0.226819902000000,-0.297189492000000,-0.235655174000000,-0.222878588000000,-0.297193382000000,-0.306790196000000,-0.371331875000000,0.106119050418694,0.000327953887523,0,2
22,10173,-0.348567592000000,-0.360059550000000,-0.429382833000000,-0.487647190000000,-0.495843875000000,-0.489531109000000,-0.492916993000000,-0.507036006000000,-0.511208318000000,-0.503882451000000,0.005034654679595,0.000001311277769,0,2
23,10040,-0.348567592000000,-0.360059550000000,-0.361602613000000,-0.357233546000000,-0.363407620000000,-0.362593141000000,-0.357897790000000,-0.367140923000000,-0.443068944000000,-0.437607163000000,0.058208374315929,0.000104400879913,0,2
24,11229,-0.348567592000000,-0.360059550000000,-0.361602613000000,-0.292026724000000,-0.297189492000000,-0.172186190000000,-0.222878588000000,-0.157298299000000,-0.102372074000000,-0.106230724000000,0.147010670362960,0.000612865764959,0,2
