OBJECTID,zip_1,small_03,small_04,small_05,small_06,small_07,small_08,small_09,small_10,small_11,small_12,Shape_Length,Shape_Area,SS_SEED,SS_GROUP
1,11360,-0.481466663000000,-0.483339028000000,-0.484099929000000,-0.487161373000000,-0.496616564000000,-0.497126207000000,-0.509155467000000,-0.535107324000000,-0.542926784000000,-0.558566666000000,0.098713633271122,0.000393387285851,0,1
2,10009,0.010712275000000,0.016753431000000,0.050785715000000,0.036785237000000,0.044362592000000,0.076235632000000,0.057847516000000,0.076012301000000,0.099058241000000,0.125282534000000,0.052315989484037,0.000170273884226,0,2
3,10162,-0.755837426000000,-0.757979968000000,-0.768490441000000,-0.771754037000000,-0.784637874000000,-0.791782145000000,-0.804098723000000,-0.816120781000000,-0.829285893000000,-0.831771126000000,0.008956998717849,0.000003222074555,0,1
4,11422,-0.552380952000000,-0.562861927000000,-0.568425022000000,-0.578461332000000,-0.545872382000000,-0.552531597000000,-0.570178210000000,-0.580814332000000,-0.586007358000000,-0.608011645000000,0.162934011696676,0.000559066066309,0,1
5,10177,-0.764279603000000,-0.757979968000000,-0.768490441000000,-0.767641426000000,-0.777959119000000,-0.786745291000000,-0.796470881000000,-0.805963668000000,-0.803944379000000,-0.804953511000000,0.002750989173354,0.000000288902492,0,1
6,10466,-0.293206109000000,-0.293139929000000,-0.280727644000000,-0.310319110000000,-0.312950801000000,-0.327552135000000,-0.322697087000000,-0.328579362000000,-0.346952408000000,-0.366653104000000,0.123069695864478,0.000554638083758,0,2
7,11106,-0.016302693000000,-0.029156697000000,-0.020311913000000,-0.017501225000000,-0.019920425000000,-0.020304063000000,-0.011650607000000,0.013376772000000,0.010362941000000,0.020526222000000,0.069944542403470,0.000237466597522,0,2
8,10453,-0.335416995000000,-0.334950938000000,-0.341077956000000,-0.340752430000000,-0.323803778000000,-0.322515281000000,-0.304898787000000,-0.309111562000000,-0.313163722000000,-0.294580762000000,0.073280191271487,0.000252400694476,0,2
9,11366,-0.473868703000000,-0.479239909000000,-0.475006046000000,-0.467420841000000,-0.465727322000000,-0.467744561000000,-0.461693334000000,-0.458082552000000,-0.481262433000000,-0.473923567000000,0.137447867447827,0.000304363272589,0,1
10,11228,-0.215538077000000,-0.199680027000000,-0.184828517000000,-0.200923664000000,-0.177706013000000,-0.169730721000000,-0.167597616000000,-0.173683391000000,-0.140841426000000,-0.146245825000000,0.105676824824470,0.000402525874078,0,2
11,11214,0.403273520000000,0.418467045000000,0.497212682000000,0.491639986000000,0.471802912000000,0.506047142000000,0.517213162000000,0.562707294000000,0.586460029000000,0.620570373000000,0.134175311382824,0.000597631823604,0,4
12,11231,-0.120141474000000,-0.099661535000000,-0.090582824000000,-0.083302997000000,-0.058323267000000,-0.048006758000000,-0.034534136000000,-0.020480271000000,0.002760487000000,0.038963333000000,0.118063401514166,0.000408731699815,0,2
13,10006,-0.108322425000000,-0.116058009000000,-0.119517905000000,-0.120316494000000,-0.133459261000000,-0.157138587000000,-0.177768073000000,-0.178761947000000,-0.193213889000000,-0.200719107000000,0.021477933971930,0.000026640556378,0,2
14,10128,0.594066727000000,0.596368789000000,0.599725542000000,0.560731847000000,0.608717390000000,0.576563093000000,0.570608062000000,0.572864407000000,0.555205495000000,0.505757456000000,0.059498730376103,0.000130126293332,0,4
15,11355,0.437886447000000,0.475854704000000,0.540201946000000,0.547571493000000,0.607882546000000,0.646239568000000,0.679940476000000,0.699828318000000,0.729217225000000,0.780638017000000,0.109187218289639,0.000478531415515,0,4
16,10169,-0.571797960000000,-0.573519635000000,-0.585786071000000,-0.585864031000000,-0.619338688000000,-0.636479158000000,-0.652389405000000,-0.667996218000000,-0.694131151000000,-0.716120159000000,0.004360998165473,0.000001058464070,0,1
17,10103,-0.698430620000000,-0.680916540000000,-0.706486696000000,-0.714177486000000,-0.727868457000000,-0.728821474000000,-0.743923519000000,-0.759410234000000,-0.777758148000000,-0.786516400000000,0.008549486987410,0.000002642222869,0,1
18,11102,-0.252683658000000,-0.243130683000000,-0.253445996000000,-0.249452471000000,-0.261190450000000,-0.258715135000000,-0.257436654000000,-0.272715241000000,-0.284443340000000,-0.282848055000000,0.077132015500820,0.000230656523003,0,2
19,10153,-0.708561233000000,-0.701412133000000,-0.715580578000000,-0.714177486000000,-0.726198768000000,-0.744771511000000,-0.754941514000000,-0.747560269000000,-0.754106068000000,-0.764727087000000,0.005027402551171,0.000001309821267,0,1
20,10154,-0.746551031000000,-0.748142084000000,-0.751129392000000,-0.748723417000000,-0.764601609000000,-0.775832108000000,-0.783757809000000,-0.800885112000000,-0.802254945000000,-0.790706652000000,0.005056376745689,0.000001320456167,0,1
21,10302,-0.491597276000000,-0.475960615000000,-0.494020528000000,-0.486338851000000,-0.489102965000000,-0.486213024000000,-0.500680086000000,-0.509714542000000,-0.509138098000000,-0.514149990000000,0.106119050418694,0.000327953887523,0,1
22,10173,-0.721224499000000,-0.722727549000000,-0.734595060000000,-0.741320717000000,-0.773784897000000,-0.780029486000000,-0.779520119000000,-0.794960129000000,-0.798876076000000,-0.803277410000000,0.005034654679595,0.000001311277769,0,1
23,10040,-0.348924479000000,-0.341509527000000,-0.350998555000000,-0.368718183000000,-0.364711153000000,-0.383797000000000,-0.388805058000000,-0.397986300000000,-0.392567133000000,-0.380899963000000,0.058208374315929,0.000104400879913,0,2
24,11229,0.621925913000000,0.598008436000000,0.612126291000000,0.618308397000000,0.676339785000000,0.706681811000000,0.757913980000000,0.792935186000000,0.777366102000000,0.783990219000000,0.147010670362960,0.000612865764959,0,4
25,11221,-0.436723123000000,-0.431690135000000,-0.427883199000000,-0.442745177000000,-0.418141193000000,-0.405623366000000,-0.370159220000000,-0.360743553000000,-0.368070336000000,-0.375871660000000,0.107030983812650,0.000381674268024,0,1
26,11421,-0.439255776000000,-0.443987490000000,-0.441110665000000,-0.440277610000000,-0.447360746000000,-0.470262988000000,-0.465083487000000,-0.463161108000000,-0.444939596000000,-0.427830790000000,0.079922630743564,0.000355219597452,0,1
27,11416,-0.488220405000000,-0.491537265000000,-0.495673961000000,-0.496209117000000,-0.509974074000000,-0.496286732000000,-0.511698082000000,-0.519025229000000,-0.517585269000000,-0.525044647000000,0.073177138262850,0.000180387815937,0,1
28,10280,-0.662973475000000,-0.652222711000000,-0.657710416000000,-0.656600936000000,-0.655236996000000,-0.659144999000000,-0.669340167000000,-0.692542574000000,-0.687373414000000,-0.711091856000000,0.035385911572541,0.000037311741383,0,1
29,11418,-0.240020392000000,-0.243950507000000,-0.265020028000000,-0.249452471000000,-0.276217649000000,-0.262912513000000,-0.270149725000000,-0.247322459000000,-0.267548997000000,-0.261896793000000,0.115736612959255,0.000454458143925,0,2
30,10017,3.260950542000000,3.255876880000000,3.236951514000000,3.273409899000000,3.175863847000000,3.199084885000000,3.162379547000000,3.132456856000000,3.059791807000000,3.002309866000000,0.069979023761315,0.000086993697235,0,3
31,10119,-0.589526533000000,-0.583357520000000,-0.589092938000000,-0.569413588000000,-0.573422247000000,-0.580234292000000,-0.580348667000000,-0.591817871000000,-0.613883023000000,-0.630639009000000,0.009193613382557,0.000004545252373,0,1
32,11371,-0.725445587000000,-0.726826668000000,-0.733768344000000,-0.725692797000000,-0.738721433000000,-0.739734657000000,-0.761721819000000,-0.773799477000000,-0.782826451000000,-0.793220804000000,0.093058383491031,0.000272841486744,0,1
33,10110,-0.625827895000000,-0.619429763000000,-0.632082201000000,-0.633570316000000,-0.656906685000000,-0.667539755000000,-0.682900776000000,-0.694235426000000,-0.712714928000000,-0.729528966000000,0.008679844885732,0.000002848336939,0,1
34,11209,0.750247008000000,0.709504460000000,0.709678850000000,0.684110170000000,0.678009473000000,0.712558141000000,0.701976466000000,0.702367597000000,0.739353831000000,0.767229209000000,0.128430147194198,0.000589175455539,0,4
35,10025,0.782327282000000,0.743937055000000,0.750187964000000,0.783635350000000,0.785704398000000,0.772160909000000,0.826564566000000,0.842874325000000,0.833117433000000,0.825054693000000,0.082322018200435,0.000206298285857,0,4
36,11206,-0.077930587000000,-0.060309997000000,-0.052553860000000,-0.045466978000000,-0.037452157000000,-0.014427734000000,0.018860764000000,0.026073163000000,0.051754081000000,0.085056110000000,0.096335137325588,0.000390469539599,0,2
37,10455,-0.320221076000000,-0.316094993000000,-0.303048992000000,-0.285643446000000,-0.291244848000000,-0.274665172000000,-0.283710335000000,-0.283718780000000,-0.308940137000000,-0.297932964000000,0.073221429313120,0.000198984112597,0,2
38,11415,-0.460361220000000,-0.457924493000000,-0.457644997000000,-0.449325354000000,-0.464892478000000,-0.471102463000000,-0.478644096000000,-0.492786021000000,-0.499846210000000,-0.505769486000000,0.069702595629502,0.000155993452935,0,1
39,10171,-0.751616337000000,-0.749781731000000,-0.757743125000000,-0.756126116000000,-0.761262232000000,-0.772474206000000,-0.780367657000000,-0.794960129000000,-0.802254945000000,-0.811657914000000,0.005070683998221,0.000001329823193,0,1
40,11364,-0.358210874000000,-0.375122299000000,-0.373319903000000,-0.344865041000000,-0.359702087000000,-0.355254830000000,-0.346428154000000,-0.343815032000000,-0.351175993000000,-0.368329205000000,0.153200135202010,0.000682696282675,0,2
41,10069,-0.747395248000000,-0.748142084000000,-0.750302676000000,-0.744610806000000,-0.751244099000000,-0.749808364000000,-0.757484128000000,-0.763642365000000,-0.771000411000000,-0.773945642000000,0.034633017775433,0.000027828137721,0,1
42,10028,0.830447692000000,0.815261717000000,0.839473357000000,0.819003802000000,0.831620839000000,0.808258360000000,0.800290885000000,0.782778074000000,0.769763648000000,0.706889574000000,0.048394083521493,0.000086916900196,0,4
43,10152,-0.684078918000000,-0.685835482000000,-0.701526396000000,-0.692791910000000,-0.727033612000000,-0.744771511000000,-0.760026743000000,-0.772106625000000,-0.780292299000000,-0.799087157000000,0.005063326839001,0.000001324846370,0,1
44,10018,4.221670321000000,4.115052121000000,4.170314562000000,4.146928423000000,4.434809167000000,4.338253282000000,4.343847648000000,4.289521300000000,4.272805616000000,4.390959529000000,0.076357305840984,0.000090875883605,0,3
45,11412,-0.592059186000000,-0.581717872000000,-0.592399804000000,-0.591621686000000,-0.607650866000000,-0.616331743000000,-0.621878034000000,-0.633292749000000,-0.639224537000000,-0.648238069000000,0.088998716287489,0.000453196177948,0,1
46,11204,0.594066727000000,0.624242794000000,0.662556004000000,0.677529992000000,0.735613735000000,0.704163385000000,0.696043700000000,0.751460309000000,0.789192142000000,0.815836137000000,0.093735348744780,0.000425377953528,0,4
47,10019,2.987423997000000,2.991893648000000,2.999683848000000,3.068601884000000,2.988023863000000,2.977463325000000,2.950495024000000,2.892071851000000,2.868041017000000,2.813748506000000,0.116312985026718,0.000182508899314,0,3
48,10029,-0.154754401000000,-0.151310428000000,-0.150106420000000,-0.140879547000000,-0.121771439000000,-0.089141063000000,-0.082843807000000,-0.002705324000000,-0.020046876000000,-0.013833848000000,0.065045237616276,0.000225480728330,0,2
49,11429,-0.612320411000000,-0.609591878000000,-0.618854735000000,-0.617942395000000,-0.639374953000000,-0.644873914000000,-0.646456638000000,-0.651067697000000,-0.659497748000000,-0.667513230000000,0.082295537681634,0.000350282878726,0,1
50,10279,-0.697586402000000,-0.685015659000000,-0.689952364000000,-0.690324344000000,-0.704492814000000,-0.722105670000000,-0.736295676000000,-0.745867417000000,-0.745658896000000,-0.739585572000000,0.004838994499150,0.000001151478034,0,1
51,10472,-0.408019720000000,-0.407915247000000,-0.404735134000000,-0.413956901000000,-0.425654792000000,-0.412339171000000,-0.412536125000000,-0.414914822000000,-0.414529779000000,-0.405203427000000,0.089071352679001,0.000285681013421,0,1
52,10005,0.101043572000000,0.100375448000000,0.088814679000000,0.123972585000000,0.129516718000000,0.146751582000000,0.144296402000000,0.116640753000000,0.133691643000000,0.093436615000000,0.023524677263298,0.000020047446796,0,2
53,10016,3.991198880000000,3.911735842000000,3.969422427000000,3.925669965000000,3.862105925000000,3.844641626000000,3.811593726000000,3.775740673000000,3.759217596000000,3.830303751000000,0.055223030964436,0.000146777993643,0,3
54,10021,3.735400907000000,3.691203266000000,3.749515810000000,3.615579114000000,2.692488953000000,2.572836083000000,2.479263845000000,2.343587755000000,2.110329744000000,1.797193261000000,0.058882400482603,0.000103931309923,0,3
55,10111,-0.635958508000000,-0.633366765000000,-0.646136383000000,-0.649198237000000,-0.669429350000000,-0.677613462000000,-0.684595852000000,-0.702699687000000,-0.713559645000000,-0.727852865000000,0.003840429780808,0.000000511980644,0,1
56,10112,-0.697586402000000,-0.700592309000000,-0.705659979000000,-0.699372088000000,-0.701988281000000,-0.712871438000000,-0.725277681000000,-0.742481713000000,-0.750727199000000,-0.769755390000000,0.005847766506377,0.000001626646825,0,1
57,10167,-0.713626539000000,-0.703871604000000,-0.717234012000000,-0.709242354000000,-0.712841258000000,-0.706155633000000,-0.726972757000000,-0.738249582000000,-0.743124745000000,-0.757184633000000,0.004664825600077,0.000000905389634,0,1
58,10308,-0.467114961000000,-0.460383964000000,-0.475832763000000,-0.470710930000000,-0.466562167000000,-0.484534073000000,-0.484576863000000,-0.495325299000000,-0.502380361000000,-0.504093385000000,0.113732264031471,0.000547150694148,0,1
59,10474,-0.308402028000000,-0.317734640000000,-0.310489441000000,-0.316899288000000,-0.265364672000000,-0.257036184000000,-0.291338178000000,-0.315882971000000,-0.334281651000000,-0.350730145000000,0.093940532701788,0.000425992064376,0,2
60,11104,-0.361587745000000,-0.356266354000000,-0.364226021000000,-0.367073139000000,-0.365545997000000,-0.371204866000000,-0.377787063000000,-0.386982761000000,-0.395946002000000,-0.383414114000000,0.059851944643096,0.000108861827166,0,2
61,11212,-0.303336721000000,-0.308716579000000,-0.314623024000000,-0.331704686000000,-0.323803778000000,-0.317478428000000,-0.282862797000000,-0.250708163000000,-0.248965220000000,-0.258544591000000,0.087055799961569,0.000430041616288,0,2
62,11226,0.037727242000000,0.060204087000000,0.059052881000000,0.029382538000000,0.058554946000000,0.085469863000000,0.090901502000000,0.100558658000000,0.124399755000000,0.156290402000000,0.078612641579523,0.000352072628600,0,2
63,11236,-0.021367999000000,-0.030796344000000,0.001182719000000,-0.031484101000000,-0.058323267000000,-0.061438368000000,-0.035381674000000,-0.028098106000000,-0.024270461000000,-0.041489514000000,0.143871965908188,0.001001226175242,0,2
64,11351,-0.772721780000000,-0.770277324000000,-0.780891190000000,-0.780801781000000,-0.795490851000000,-0.803534803000000,-0.817659333000000,-0.832202877000000,-0.840267216000000,-0.847694086000000,0.005105982097963,0.000000805313667,0,1
65,11359,-0.774410216000000,-0.771097148000000,-0.781717907000000,-0.780801781000000,-0.792151474000000,-0.800176901000000,-0.810031490000000,-0.824585042000000,-0.832664762000000,-0.840989682000000,0.036702394092356,0.000072898268705,0,1
66,11378,0.015777581000000,0.006915546000000,0.003662869000000,0.014577139000000,0.051041347000000,0.048532937000000,0.062085207000000,0.040462406000000,0.039928041000000,0.069971201000000,0.134876728798560,0.000726948049276,0,2
67,11420,-0.505104759000000,-0.507933739000000,-0.498980828000000,-0.498676683000000,-0.498286253000000,-0.519792049000000,-0.513393158000000,-0.521564507000000,-0.513361684000000,-0.497388981000000,0.100993237143728,0.000575454890649,0,1
68,11424,-0.770189127000000,-0.767817853000000,-0.778411040000000,-0.777511692000000,-0.792986318000000,-0.800176901000000,-0.813421642000000,-0.827124320000000,-0.835198913000000,-0.845179934000000,0.014645614583755,0.000009950645675,0,1
69,11425,-0.776098651000000,-0.771916971000000,-0.784198057000000,-0.783269347000000,-0.796325695000000,-0.804374279000000,-0.817659333000000,-0.830510024000000,-0.838577782000000,-0.846017985000000,0.014130310975506,0.000010597534233,1,1
70,11433,-0.545627210000000,-0.545645629000000,-0.552717407000000,-0.561188366000000,-0.570917714000000,-0.572679012000000,-0.582891281000000,-0.593510724000000,-0.595299246000000,-0.605497494000000,0.122634839600809,0.000428492077697,0,1
71,11451,-0.774410216000000,-0.771097148000000,-0.783371340000000,-0.782446825000000,-0.795490851000000,-0.804374279000000,-0.817659333000000,-0.830510024000000,-0.839422499000000,-0.846017985000000,0.013680118536704,0.000009920024049,0,1
72,10311,-0.765968038000000,-0.757979968000000,-0.771797307000000,-0.771754037000000,-0.782968185000000,-0.795140047000000,-0.806641338000000,-0.818660059000000,-0.827596459000000,-0.834285278000000,0.015514550475255,0.000012923108269,0,1
