zip,naics,est,n1_4,n5_9,n10_19,n20_49,n50_99,n100_249,n250_499,n500_999,n1000
10001,------,7235,4145,1266,827,569,215,133,46,21,13
10001,11----,1,1,0,0,0,0,0,0,0,0
10001,115112,1,1,0,0,0,0,0,0,0,0
10001,22----,1,0,0,0,1,0,0,0,0,0
10001,221330,1,0,0,0,1,0,0,0,0,0
10001,23----,234,99,51,37,29,8,6,3,1,0
10001,236115,15,11,2,1,1,0,0,0,0,0
10001,236116,3,1,0,2,0,0,0,0,0,0
10001,236117,1,1,0,0,0,0,0,0,0,0
10001,236118,28,14,10,1,2,1,0,0,0,0
10001,236220,46,16,10,8,8,2,1,1,0,0
10001,237110,1,0,0,0,1,0,0,0,0,0
10001,237130,1,0,1,0,0,0,0,0,0,0
10001,237310,1,1,0,0,0,0,0,0,0,0
10001,237990,1,0,1,0,0,0,0,0,0,0
10001,238120,2,1,1,0,0,0,0,0,0,0
10001,238130,4,2,0,0,2,0,0,0,0,0
10001,238140,5,3,1,1,0,0,0,0,0,0
10001,238150,1,1,0,0,0,0,0,0,0,0
10001,238160,2,2,0,0,0,0,0,0,0,0
10001,238190,1,1,0,0,0,0,0,0,0,0
10001,238210,54,22,12,12,7,0,0,1,0,0
10001,238220,27,8,5,8,5,1,0,0,0,0
10001,238290,7,1,3,0,0,0,2,1,0,0
10001,238310,7,3,1,0,0,1,1,0,1,0
10001,238320,9,3,1,2,0,2,1,0,0,0
10001,238330,4,1,1,0,1,1,0,0,0,0
10001,238340,2,1,1,0,0,0,0,0,0,0
10001,238350,8,4,1,2,1,0,0,0,0,0
10001,238390,2,0,0,0,1,0,1,0,0,0
10001,238910,1,1,0,0,0,0,0,0,0,0
10001,238990,1,1,0,0,0,0,0,0,0,0
10001,31----,243,136,52,38,10,6,1,0,0,0
10001,311352,1,0,1,0,0,0,0,0,0,0
10001,311421,1,0,0,0,0,0,1,0,0,0
10001,311511,1,0,0,1,0,0,0,0,0,0
10001,311513,1,1,0,0,0,0,0,0,0,0
10001,311811,3,0,2,1,0,0,0,0,0,0
10001,311821,1,1,0,0,0,0,0,0,0,0
10001,311991,1,0,1,0,0,0,0,0,0,0
10001,312120,1,1,0,0,0,0,0,0,0,0
10001,313210,1,1,0,0,0,0,0,0,0,0
10001,313220,1,1,0,0,0,0,0,0,0,0
10001,313310,3,1,2,0,0,0,0,0,0,0
10001,314120,2,1,0,1,0,0,0,0,0,0
