zip,naics,est,n1_4,n5_9,n10_19,n20_49,n50_99,n100_249,n250_499,n500_999,n1000
10001,------,7370,4339,1266,819,558,196,122,33,29,8
10001,22----,2,1,1,0,0,0,0,0,0,0
10001,221122,2,1,1,0,0,0,0,0,0,0
10001,23----,223,102,44,31,28,9,6,3,0,0
10001,236115,14,7,4,0,2,1,0,0,0,0
10001,236116,3,1,0,0,2,0,0,0,0,0
10001,236117,1,1,0,0,0,0,0,0,0,0
10001,236118,19,11,3,2,3,0,0,0,0,0
10001,236210,2,2,0,0,0,0,0,0,0,0
10001,236220,45,18,10,8,5,1,3,0,0,0
10001,237310,1,1,0,0,0,0,0,0,0,0
10001,237990,1,1,0,0,0,0,0,0,0,0
10001,238110,1,1,0,0,0,0,0,0,0,0
10001,238120,2,2,0,0,0,0,0,0,0,0
10001,238130,5,2,1,1,1,0,0,0,0,0
10001,238140,4,2,1,1,0,0,0,0,0,0
10001,238150,1,1,0,0,0,0,0,0,0,0
10001,238160,1,0,1,0,0,0,0,0,0,0
10001,238190,2,2,0,0,0,0,0,0,0,0
10001,238210,42,14,10,8,8,1,1,0,0,0
10001,238220,32,16,8,5,3,0,0,0,0,0
10001,238290,12,3,0,2,0,4,1,2,0,0
10001,238310,5,0,2,0,1,0,1,1,0,0
10001,238320,8,5,1,0,1,1,0,0,0,0
10001,238330,3,2,0,1,0,0,0,0,0,0
10001,238340,2,1,0,1,0,0,0,0,0,0
10001,238350,8,4,2,1,0,1,0,0,0,0
10001,238390,2,1,0,0,1,0,0,0,0,0
10001,238910,2,1,0,0,1,0,0,0,0,0
10001,238990,5,3,1,1,0,0,0,0,0,0
10001,31----,490,242,91,83,55,15,4,0,0,0
10001,311340,1,0,1,0,0,0,0,0,0,0
10001,311811,4,3,0,1,0,0,0,0,0,0
10001,311812,2,1,0,0,1,0,0,0,0,0
10001,311991,1,0,1,0,0,0,0,0,0,0
10001,311999,1,1,0,0,0,0,0,0,0,0
10001,312120,1,0,0,1,0,0,0,0,0,0
10001,313210,2,1,1,0,0,0,0,0,0,0
10001,313221,1,1,0,0,0,0,0,0,0,0
10001,313241,2,1,0,1,0,0,0,0,0,0
10001,313311,13,6,3,2,2,0,0,0,0,0
10001,313312,3,1,2,0,0,0,0,0,0,0
10001,313320,1,1,0,0,0,0,0,0,0,0
10001,314121,6,2,1,2,1,0,0,0,0,0
10001,314129,3,0,1,2,0,0,0,0,0,0
10001,314999,5,4,0,1,0,0,0,0,0,0
10001,315191,2,0,1,0,1,0,0,0,0,0
10001,315192,1,1,0,0,0,0,0,0,0,0
10001,315211,4,2,1,1,0,0,0,0,0,0
10001,315212,78,32,12,22,9,3,0,0,0,0
10001,315222,1,1,0,0,0,0,0,0,0,0
10001,315224,2,0,0,1,1,0,0,0,0,0
10001,315228,1,1,0,0,0,0,0,0,0,0
10001,315231,1,1,0,0,0,0,0,0,0,0
10001,315232,4,1,3,0,0,0,0,0,0,0
10001,315233,12,5,3,1,2,0,1,0,0,0
10001,315234,3,1,1,0,1,0,0,0,0,0
10001,315239,3,0,2,0,1,0,0,0,0,0
10001,315292,50,39,7,3,1,0,0,0,0,0
10001,315299,4,1,2,0,1,0,0,0,0,0
10001,315991,7,4,2,1,0,0,0,0,0,0
10001,315992,1,1,0,0,0,0,0,0,0,0
10001,315993,6,3,2,0,0,1,0,0,0,0
10001,315999,11,7,0,1,3,0,0,0,0,0
10001,316110,5,2,2,1,0,0,0,0,0,0
10001,316213,1,0,0,1,0,0,0,0,0,0
10001,316991,5,3,0,1,1,0,0,0,0,0
10001,316992,12,7,3,1,1,0,0,0,0,0
10001,316993,4,2,1,1,0,0,0,0,0,0
10001,316999,1,1,0,0,0,0,0,0,0,0
10001,321920,1,1,0,0,0,0,0,0,0,0
10001,322222,1,1,0,0,0,0,0,0,0,0
10001,322231,2,0,1,0,1,0,0,0,0,0
10001,323110,42,22,7,3,4,4,2,0,0,0
10001,323111,1,0,1,0,0,0,0,0,0,0
10001,323112,3,1,1,1,0,0,0,0,0,0
10001,323113,8,6,1,1,0,0,0,0,0,0
10001,323114,11,3,4,2,2,0,0,0,0,0
10001,323115,7,1,1,3,2,0,0,0,0,0
10001,323116,1,1,0,0,0,0,0,0,0,0
10001,323117,1,1,0,0,0,0,0,0,0,0
10001,323119,5,4,0,1,0,0,0,0,0,0
10001,323121,6,2,1,1,2,0,0,0,0,0
10001,323122,17,9,2,2,2,2,0,0,0,0
10001,325620,1,0,1,0,0,0,0,0,0,0
10001,325992,1,0,1,0,0,0,0,0,0,0
10001,326199,2,0,0,2,0,0,0,0,0,0
10001,327112,1,1,0,0,0,0,0,0,0,0
10001,327999,1,0,0,1,0,0,0,0,0,0
10001,331419,1,0,0,0,1,0,0,0,0,0
10001,331491,2,2,0,0,0,0,0,0,0,0
10001,331528,1,0,0,0,0,1,0,0,0,0
10001,332212,2,2,0,0,0,0,0,0,0,0
10001,332812,1,0,1,0,0,0,0,0,0,0
10001,332813,2,1,0,1,0,0,0,0,0,0
10001,333314,1,1,0,0,0,0,0,0,0,0
10001,333511,2,1,0,1,0,0,0,0,0,0
10001,333514,1,0,0,1,0,0,0,0,0,0
10001,333515,1,1,0,0,0,0,0,0,0,0
10001,334111,1,1,0,0,0,0,0,0,0,0
10001,334310,1,1,0,0,0,0,0,0,0,0
10001,334411,1,0,1,0,0,0,0,0,0,0
10001,334612,5,3,0,2,0,0,0,0,0,0
10001,335121,2,0,0,1,1,0,0,0,0,0
10001,335991,1,1,0,0,0,0,0,0,0,0
10001,335999,1,1,0,0,0,0,0,0,0,0
10001,337121,2,0,0,1,0,1,0,0,0,0
10001,337122,4,1,2,1,0,0,0,0,0,0
10001,337212,1,0,0,0,1,0,0,0,0,0
10001,337215,1,1,0,0,0,0,0,0,0,0
10001,339114,1,0,0,1,0,0,0,0,0,0
10001,339115,1,0,0,0,1,0,0,0,0,0
10001,339116,5,4,1,0,0,0,0,0,0,0
10001,339911,27,7,7,5,6,1,1,0,0,0
10001,339913,4,1,2,0,1,0,0,0,0,0
10001,339914,12,6,2,1,2,1,0,0,0,0
10001,339932,1,0,1,0,0,0,0,0,0,0
10001,339943,4,2,1,1,0,0,0,0,0,0
10001,339950,6,2,0,2,1,1,0,0,0,0
10001,339992,2,0,0,1,1,0,0,0,0,0
10001,339993,5,4,0,0,1,0,0,0,0,0
10001,339999,11,9,0,2,0,0,0,0,0,0
10001,42----,1734,1126,313,161,92,26,12,3,1,0
10001,423110,2,1,1,0,0,0,0,0,0,0
10001,423120,6,5,0,1,0,0,0,0,0,0
10001,423130,1,1,0,0,0,0,0,0,0,0
10001,423210,7,3,2,1,1,0,0,0,0,0
10001,423220,65,37,14,8,4,1,1,0,0,0
10001,423310,3,2,0,1,0,0,0,0,0,0
10001,423320,4,3,0,1,0,0,0,0,0,0
10001,423390,1,1,0,0,0,0,0,0,0,0
10001,423410,4,1,3,0,0,0,0,0,0,0
10001,423420,15,5,1,2,5,1,1,0,0,0
10001,423430,29,10,12,2,2,1,2,0,0,0
10001,423440,9,5,2,1,1,0,0,0,0,0
10001,423450,6,4,0,0,1,0,1,0,0,0
10001,423460,22,14,4,1,3,0,0,0,0,0
10001,423490,4,0,2,0,1,1,0,0,0,0
10001,423510,2,0,1,0,1,0,0,0,0,0
10001,423610,14,7,2,3,2,0,0,0,0,0
10001,423620,7,5,1,1,0,0,0,0,0,0
10001,423690,28,15,6,3,2,1,1,0,0,0
10001,423710,3,2,0,0,1,0,0,0,0,0
10001,423720,1,1,0,0,0,0,0,0,0,0
10001,423730,6,3,0,2,1,0,0,0,0,0
10001,423810,2,2,0,0,0,0,0,0,0,0
10001,423820,2,2,0,0,0,0,0,0,0,0
10001,423830,17,10,2,2,3,0,0,0,0,0
10001,423840,5,3,2,0,0,0,0,0,0,0
10001,423850,7,3,1,2,1,0,0,0,0,0
10001,423910,8,4,2,0,2,0,0,0,0,0
10001,423920,30,21,4,4,1,0,0,0,0,0
10001,423930,5,4,0,1,0,0,0,0,0,0
10001,423940,277,180,56,29,10,2,0,0,0,0
10001,423990,64,47,12,3,1,0,1,0,0,0
10001,424110,1,0,0,0,1,0,0,0,0,0
10001,424120,19,10,5,2,2,0,0,0,0,0
10001,424130,11,9,0,1,0,0,1,0,0,0
10001,424210,57,49,4,3,1,0,0,0,0,0
10001,424310,119,74,27,13,5,0,0,0,0,0
10001,424320,119,77,23,10,5,3,1,0,0,0
10001,424330,327,212,55,24,17,13,2,3,1,0
10001,424340,30,13,10,2,1,3,1,0,0,0
10001,424410,7,5,2,0,0,0,0,0,0,0
10001,424420,1,1,0,0,0,0,0,0,0,0
10001,424430,1,1,0,0,0,0,0,0,0,0
10001,424460,3,2,0,0,1,0,0,0,0,0
10001,424470,2,0,2,0,0,0,0,0,0,0
10001,424480,2,2,0,0,0,0,0,0,0,0
10001,424490,11,10,1,0,0,0,0,0,0,0
10001,424590,21,17,4,0,0,0,0,0,0,0
10001,424610,4,3,0,1,0,0,0,0,0,0
10001,424690,8,7,0,1,0,0,0,0,0,0
10001,424820,12,5,1,3,3,0,0,0,0,0
10001,424910,4,3,0,1,0,0,0,0,0,0
10001,424920,14,8,1,3,2,0,0,0,0,0
10001,424930,25,11,6,6,2,0,0,0,0,0
10001,424940,2,0,2,0,0,0,0,0,0,0
10001,424950,3,1,2,0,0,0,0,0,0,0
10001,424990,139,96,22,14,7,0,0,0,0,0
10001,425110,3,3,0,0,0,0,0,0,0,0
10001,425120,133,106,16,9,2,0,0,0,0,0
10001,44----,766,480,126,69,56,16,13,3,2,1
10001,441110,3,2,0,0,1,0,0,0,0,0
10001,441120,1,1,0,0,0,0,0,0,0,0
10001,441310,2,2,0,0,0,0,0,0,0,0
10001,441320,1,1,0,0,0,0,0,0,0,0
10001,442110,7,5,0,0,2,0,0,0,0,0
10001,442210,6,5,0,1,0,0,0,0,0,0
10001,442291,1,1,0,0,0,0,0,0,0,0
10001,442299,6,6,0,0,0,0,0,0,0,0
10001,443111,6,4,1,1,0,0,0,0,0,0
10001,443112,33,24,7,1,1,0,0,0,0,0
10001,443120,10,6,2,1,1,0,0,0,0,0
10001,443130,11,7,2,1,0,0,0,0,1,0
10001,444120,2,1,0,1,0,0,0,0,0,0
10001,444130,7,5,1,1,0,0,0,0,0,0
10001,444190,5,2,3,0,0,0,0,0,0,0
10001,444220,2,1,0,1,0,0,0,0,0,0
10001,445110,47,31,9,3,2,1,1,0,0,0
10001,445120,5,3,1,0,1,0,0,0,0,0
10001,445230,3,2,1,0,0,0,0,0,0,0
10001,445291,5,4,0,1,0,0,0,0,0,0
10001,445292,2,1,1,0,0,0,0,0,0,0
10001,445299,4,3,0,1,0,0,0,0,0,0
10001,445310,9,7,0,2,0,0,0,0,0,0
10001,446110,22,9,4,3,4,1,1,0,0,0
10001,446120,22,16,2,1,2,1,0,0,0,0
10001,446130,10,4,3,1,2,0,0,0,0,0
10001,446191,5,0,3,2,0,0,0,0,0,0
10001,446199,1,0,1,0,0,0,0,0,0,0
10001,447110,2,2,0,0,0,0,0,0,0,0
10001,447190,4,3,1,0,0,0,0,0,0,0
10001,448110,26,19,6,1,0,0,0,0,0,0
10001,448120,48,29,9,3,5,2,0,0,0,0
10001,448130,5,1,0,0,3,1,0,0,0,0
10001,448140,32,11,5,1,7,2,4,1,1,0
10001,448150,22,14,6,2,0,0,0,0,0,0
10001,448190,48,31,9,5,1,1,0,1,0,0
10001,448210,37,10,6,10,9,1,1,0,0,0
10001,448310,32,24,6,0,2,0,0,0,0,0
10001,448320,6,3,1,1,0,1,0,0,0,0
10001,451110,8,4,1,1,2,0,0,0,0,0
10001,451120,4,0,1,2,0,0,0,1,0,0
10001,451130,3,3,0,0,0,0,0,0,0,0
10001,451140,2,1,1,0,0,0,0,0,0,0
10001,451211,9,4,1,2,2,0,0,0,0,0
10001,451212,18,16,0,1,0,0,1,0,0,0
10001,451220,12,10,0,0,2,0,0,0,0,0
10001,452111,1,0,0,0,0,0,0,0,0,1
10001,452112,2,0,0,0,0,2,0,0,0,0
10001,452990,14,7,4,1,1,0,1,0,0,0
10001,453110,23,13,6,3,1,0,0,0,0,0
10001,453210,11,5,1,2,2,1,0,0,0,0
10001,453220,31,25,2,3,0,1,0,0,0,0
10001,453310,9,8,0,1,0,0,0,0,0,0
10001,453910,2,1,1,0,0,0,0,0,0,0
10001,453920,49,39,6,4,0,0,0,0,0,0
10001,453991,4,4,0,0,0,0,0,0,0,0
10001,453998,11,8,3,0,0,0,0,0,0,0
10001,454111,8,6,1,1,0,0,0,0,0,0
10001,454113,24,14,1,2,2,1,4,0,0,0
10001,454210,2,2,0,0,0,0,0,0,0,0
10001,454390,19,10,7,1,1,0,0,0,0,0
10001,48----,100,52,19,12,5,5,7,0,0,0
10001,481111,3,1,0,1,0,0,1,0,0,0
10001,481112,1,1,0,0,0,0,0,0,0,0
10001,481219,1,1,0,0,0,0,0,0,0,0
10001,483211,1,1,0,0,0,0,0,0,0,0
10001,484110,7,4,0,2,1,0,0,0,0,0
10001,484210,4,2,0,1,0,0,1,0,0,0
10001,485310,2,1,1,0,0,0,0,0,0,0
10001,485320,2,2,0,0,0,0,0,0,0,0
10001,485510,1,0,1,0,0,0,0,0,0,0
10001,485999,1,0,0,0,1,0,0,0,0,0
10001,488119,1,0,0,1,0,0,0,0,0,0
10001,488190,1,0,0,1,0,0,0,0,0,0
10001,488320,1,1,0,0,0,0,0,0,0,0
10001,488510,21,14,7,0,0,0,0,0,0,0
10001,488991,1,1,0,0,0,0,0,0,0,0
10001,492110,24,12,5,2,1,2,2,0,0,0
10001,492210,25,10,4,4,2,2,3,0,0,0
10001,493110,2,1,0,0,0,1,0,0,0,0
10001,493120,1,0,1,0,0,0,0,0,0,0
10001,51----,342,184,48,39,40,17,7,3,4,0
10001,511110,12,3,2,1,2,2,0,1,1,0
10001,511120,36,12,4,6,7,4,2,0,1,0
10001,511130,12,3,1,5,2,1,0,0,0,0
10001,511140,8,0,2,1,1,2,2,0,0,0
10001,511191,1,1,0,0,0,0,0,0,0,0
10001,511199,7,2,3,1,1,0,0,0,0,0
10001,511210,18,12,2,2,1,1,0,0,0,0
10001,512110,82,61,6,3,9,3,0,0,0,0
10001,512120,6,4,1,0,1,0,0,0,0,0
10001,512131,4,1,0,1,1,0,1,0,0,0
10001,512191,22,12,3,5,2,0,0,0,0,0
10001,512199,3,3,0,0,0,0,0,0,0,0
10001,512210,4,4,0,0,0,0,0,0,0,0
10001,512220,7,5,2,0,0,0,0,0,0,0
10001,512230,3,3,0,0,0,0,0,0,0,0
10001,512240,17,11,6,0,0,0,0,0,0,0
10001,512290,3,1,1,0,1,0,0,0,0,0
10001,515112,1,0,0,0,1,0,0,0,0,0
10001,515120,4,2,1,1,0,0,0,0,0,0
10001,515210,7,2,0,2,1,1,1,0,0,0
10001,516110,9,5,2,1,0,0,0,1,0,0
10001,517110,16,11,2,1,0,1,1,0,0,0
10001,517211,1,1,0,0,0,0,0,0,0,0
10001,517212,4,2,0,1,1,0,0,0,0,0
10001,517310,5,1,1,1,2,0,0,0,0,0
10001,517410,1,1,0,0,0,0,0,0,0,0
10001,517510,7,4,0,1,1,0,0,0,1,0
10001,518111,9,4,3,1,0,1,0,0,0,0
10001,518112,2,0,0,2,0,0,0,0,0,0
10001,518210,24,10,6,1,6,0,0,1,0,0
10001,519110,4,1,0,2,0,0,0,0,1,0
10001,519190,3,2,0,0,0,1,0,0,0,0
10001,52----,304,145,50,54,32,11,8,2,1,1
10001,522110,30,10,0,5,10,2,2,1,0,0
10001,522120,3,1,0,0,2,0,0,0,0,0
10001,522130,5,2,1,1,1,0,0,0,0,0
10001,522220,7,4,0,1,1,0,1,0,0,0
10001,522291,3,3,0,0,0,0,0,0,0,0
10001,522292,7,4,1,0,0,1,1,0,0,0
10001,522293,2,1,0,0,1,0,0,0,0,0
10001,522298,6,2,1,2,1,0,0,0,0,0
10001,522310,7,4,2,1,0,0,0,0,0,0
10001,522320,7,5,0,0,0,2,0,0,0,0
10001,522390,7,6,1,0,0,0,0,0,0,0
10001,523110,6,5,0,1,0,0,0,0,0,0
10001,523120,118,33,32,34,15,4,0,0,0,0
10001,523130,3,3,0,0,0,0,0,0,0,0
10001,523140,4,3,0,1,0,0,0,0,0,0
10001,523910,5,5,0,0,0,0,0,0,0,0
10001,523920,9,5,2,1,0,0,1,0,0,0
10001,523930,12,9,1,1,0,1,0,0,0,0
10001,523991,1,1,0,0,0,0,0,0,0,0
10001,524113,9,4,2,1,0,0,2,0,0,0
10001,524114,3,0,0,0,0,0,1,0,1,1
10001,524126,2,1,0,0,0,0,0,1,0,0
10001,524127,2,2,0,0,0,0,0,0,0,0
10001,524210,33,25,5,3,0,0,0,0,0,0
10001,524291,2,0,1,0,1,0,0,0,0,0
10001,524292,5,1,1,2,0,1,0,0,0,0
10001,524298,4,4,0,0,0,0,0,0,0,0
10001,525930,2,2,0,0,0,0,0,0,0,0
10001,53----,413,269,64,48,24,7,1,0,0,0
10001,531110,94,65,8,13,6,2,0,0,0,0
10001,531120,173,114,29,21,7,1,1,0,0,0
10001,531130,1,0,0,1,0,0,0,0,0,0
10001,531190,3,3,0,0,0,0,0,0,0,0
10001,531210,39,30,5,1,1,2,0,0,0,0
10001,531311,26,15,6,3,2,0,0,0,0,0
10001,531312,26,16,6,1,3,0,0,0,0,0
10001,531320,1,0,1,0,0,0,0,0,0,0
10001,531390,15,13,1,0,1,0,0,0,0,0
10001,532112,1,1,0,0,0,0,0,0,0,0
10001,532120,2,0,2,0,0,0,0,0,0,0
10001,532210,2,1,1,0,0,0,0,0,0,0
10001,532220,2,1,0,0,0,1,0,0,0,0
10001,532230,3,2,0,1,0,0,0,0,0,0
10001,532299,4,0,1,1,1,1,0,0,0,0
10001,532310,1,1,0,0,0,0,0,0,0,0
10001,532420,3,1,0,1,1,0,0,0,0,0
10001,532490,8,3,2,1,2,0,0,0,0,0
10001,533110,9,3,2,4,0,0,0,0,0,0
10001,54----,1300,829,213,135,75,31,12,4,1,0
10001,541110,153,102,19,21,8,1,1,1,0,0
10001,541191,5,4,0,1,0,0,0,0,0,0
10001,541199,4,1,2,0,0,1,0,0,0,0
10001,541211,84,56,20,4,2,2,0,0,0,0
10001,541213,6,4,1,1,0,0,0,0,0,0
10001,541214,15,4,2,2,3,0,2,2,0,0
10001,541219,15,10,3,2,0,0,0,0,0,0
10001,541310,128,67,31,18,8,3,1,0,0,0
10001,541320,8,3,2,2,0,1,0,0,0,0
10001,541330,62,23,11,12,9,4,3,0,0,0
10001,541340,3,3,0,0,0,0,0,0,0,0
10001,541350,1,0,0,1,0,0,0,0,0,0
10001,541370,1,1,0,0,0,0,0,0,0,0
10001,541380,3,2,0,1,0,0,0,0,0,0
10001,541410,48,37,5,6,0,0,0,0,0,0
10001,541420,7,1,4,1,1,0,0,0,0,0
10001,541430,99,74,15,5,3,1,1,0,0,0
10001,541490,45,35,5,4,1,0,0,0,0,0
10001,541511,82,59,7,7,7,1,0,0,1,0
10001,541512,54,32,11,4,4,3,0,0,0,0
10001,541513,5,1,1,0,1,2,0,0,0,0
10001,541519,10,7,2,0,0,0,1,0,0,0
10001,541611,53,38,9,2,2,2,0,0,0,0
10001,541612,26,13,7,0,5,1,0,0,0,0
10001,541613,44,28,8,6,0,0,1,1,0,0
10001,541614,4,3,0,1,0,0,0,0,0,0
10001,541618,4,3,0,1,0,0,0,0,0,0
10001,541620,7,3,0,2,2,0,0,0,0,0
10001,541690,8,5,1,1,0,1,0,0,0,0
10001,541710,17,9,3,1,1,3,0,0,0,0
10001,541720,2,0,1,1,0,0,0,0,0,0
10001,541810,47,25,10,5,5,1,1,0,0,0
10001,541820,47,29,11,6,1,0,0,0,0,0
10001,541830,1,0,0,0,0,1,0,0,0,0
