,census_tract,cluster,code
1811,36081062700,3,4062700
1812,36081062900,3,4062900
1813,36081063000,0,4063000
1814,36081063200,0,4063200
1815,36081063301,0,4063301
1816,36081063302,0,4063302
1817,36081063500,3,4063500
1818,36081063700,3,4063700
1819,36081063800,3,4063800
1820,36081063900,3,4063900
1821,36081064101,0,4064101
1822,36081064102,0,4064102
1823,36081064500,0,4064500
1824,36081064600,0,4064600
1825,36081065000,0,4065000
1826,36081065400,0,4065400
1827,36081065501,0,4065501
1828,36081065600,3,4065600
1829,36081065702,0,4065702
1830,36081065703,0,4065703
1831,36081065900,0,4065900
1832,36081066000,3,4066000
1833,36081066100,0,4066100
1834,36081066300,3,4066300
1835,36081066400,1,4066400
1836,36081066501,3,4066501
1837,36081066701,3,4066701
1838,36081066900,0,4066900
1839,36081067100,0,4067100
1840,36081067700,0,4067700
1841,36081067900,3,4067900
1842,36081068000,3,4068000
1843,36081068200,0,4068200
1844,36081068300,3,4068300
1845,36081068700,1,4068700
1846,36081069000,0,4069000
1847,36081069300,3,4069300
1848,36081069400,0,4069400
1849,36081069500,0,4069500
1850,36081069701,3,4069701
1851,36081069702,3,4069702
1852,36081070300,0,4070300
1853,36081070700,0,4070700
1854,36081070900,4,4070900
1855,36081071100,3,4071100
1856,36081071303,3,4071303
1857,36081071304,3,4071304
1858,36081071305,3,4071305
1859,36081071306,3,4071306
1860,36081071600,0,4071600
1861,36081071701,3,4071701
1862,36081071702,3,4071702
1863,36081071900,0,4071900
1864,36081072100,3,4072100
1865,36081072300,0,4072300
1866,36081072900,0,4072900
1867,36081073100,0,4073100
1868,36081073700,0,4073700
1869,36081073900,3,4073900
1870,36081074100,3,4074100
1871,36081074300,3,4074300
1872,36081074500,3,4074500
1873,36081074700,3,4074700
1874,36081074900,0,4074900
1875,36081075701,3,4075701
1876,36081075702,3,4075702
1877,36081076901,3,4076901
1878,36081076902,0,4076902
1879,36081077300,0,4077300
1880,36081077500,0,4077500
1881,36081077902,3,4077902
1882,36081077903,3,4077903
1883,36081077904,1,4077904
1884,36081077905,0,4077905
1885,36081077906,3,4077906
1886,36081077907,0,4077907
1887,36081077908,0,4077908
1888,36081078800,0,4078800
1889,36081079000,0,4079000
1890,36081079200,0,4079200
1891,36081079300,0,4079300
1892,36081079701,1,4079701
1893,36081079702,3,4079702
1894,36081079900,3,4079900
1895,36081080301,3,4080301
1896,36081080302,3,4080302
1897,36081080900,3,4080900
1898,36081081400,3,4081400
1899,36081081800,3,4081800
1900,36081083700,1,4083700
1901,36081083800,1,4083800
1902,36081084000,1,4084000
1903,36081084500,1,4084500
1904,36081084601,3,4084601
1905,36081084602,0,4084602
1906,36081084900,1,4084900
1907,36081085300,3,4085300
1908,36081085500,1,4085500
1909,36081085700,1,4085700
1910,36081085900,1,4085900
1911,36081086100,0,4086100
1912,36081086300,1,4086300
1913,36081086400,3,4086400
1914,36081086500,3,4086500
1915,36081086900,0,4086900
1916,36081087100,0,4087100
1917,36081088400,1,4088400
1918,36081088901,1,4088901
1919,36081089200,1,4089200
1920,36081090700,0,4090700
1921,36081091601,3,4091601
1922,36081091602,0,4091602
1923,36081091800,0,4091800
1924,36081091900,1,4091900
1925,36081092200,0,4092200
1926,36081092500,3,4092500
1927,36081092800,3,4092800
1928,36081092900,1,4092900
1929,36081093401,3,4093401
1930,36081093402,3,4093402
1931,36081093800,3,4093800
1932,36081093900,1,4093900
1933,36081094201,0,4094201
1934,36081094202,3,4094202
1935,36081094203,3,4094203
1936,36081094500,3,4094500
1937,36081094700,0,4094700
1938,36081095400,3,4095400
1939,36081096400,3,4096400
1940,36081097202,0,4097202
1941,36081097203,3,4097203
1942,36081097204,0,4097204
1943,36081097300,3,4097300
1944,36081098100,3,4098100
1945,36081098700,3,4098700
1946,36081099100,1,4099100
1947,36081099200,0,4099200
1948,36081099701,3,4099701
1949,36081099703,3,4099703
1950,36081099704,1,4099704
1951,36081099705,0,4099705
1952,36081099801,1,4099801
1953,36081099802,3,4099802
1954,36081099900,0,4099900
1955,36081100801,0,4100801
1956,36081100802,1,4100802
1957,36081101001,1,4101001
1958,36081101002,3,4101002
1959,36081101700,1,4101700
1960,36081102900,3,4102900
1961,36081103201,1,4103201
1962,36081103202,1,4103202
1963,36081103300,3,4103300
1964,36081103900,1,4103900
1965,36081104700,1,4104700
1966,36081105900,3,4105900
1967,36081107201,3,4107201
1968,36081107202,0,4107202
1969,36081108500,0,4108500
1970,36081109300,3,4109300
1971,36081109700,0,4109700
1972,36081109900,3,4109900
1973,36081111300,0,4111300
1974,36081112300,0,4112300
1975,36081112900,0,4112900
1976,36081113300,0,4113300
1977,36081113900,3,4113900
1978,36081114100,0,4114100
1979,36081114700,0,4114700
1980,36081115100,0,4115100
1981,36081115500,0,4115500
1982,36081115700,0,4115700
1983,36081115900,3,4115900
1984,36081116100,3,4116100
1985,36081116300,1,4116300
1986,36081116700,0,4116700
1987,36081117100,0,4117100
1988,36081117500,3,4117500
1989,36081118100,0,4118100
1990,36081118500,0,4118500
1991,36081118700,0,4118700
1992,36081118900,0,4118900
1993,36081119100,3,4119100
1994,36081119300,0,4119300
1995,36081119500,0,4119500
1996,36081119900,0,4119900
1997,36081120100,0,4120100
1998,36081120300,0,4120300
1999,36081120500,0,4120500
2000,36081120700,0,4120700
2001,36081121100,0,4121100
2002,36081121500,3,4121500
2003,36081122300,3,4122300
2004,36081122701,1,4122701
2005,36081122702,1,4122702
2006,36081124100,3,4124100
2007,36081124700,3,4124700
2008,36081125700,3,4125700
2009,36081126500,0,4126500
2010,36081126700,3,4126700
2011,36081127700,3,4127700
2012,36081128300,0,4128300
2013,36081129102,3,4129102
2014,36081129103,3,4129103
2015,36081129104,3,4129104
2016,36081130100,3,4130100
2017,36081133300,3,4133300
2018,36081133900,0,4133900
2019,36081134100,3,4134100
2020,36081134700,1,4134700
2021,36081136700,3,4136700
2022,36081137700,1,4137700
2023,36081138501,3,4138501
2024,36081138502,0,4138502
2025,36081139900,0,4139900
2026,36081140300,0,4140300
2027,36081140901,0,4140901
2028,36081140902,0,4140902
2029,36081141700,3,4141700
2030,36081142900,3,4142900
2031,36081143500,0,4143500
2032,36081144100,3,4144100
2033,36081144700,3,4144700
2034,36081145101,0,4145101
2035,36081145102,0,4145102
2036,36081145900,3,4145900
2037,36081146300,3,4146300
2038,36081146700,0,4146700
2039,36081147100,3,4147100
2040,36081147900,3,4147900
2041,36081148300,0,4148300
2042,36081150701,0,4150701
2043,36081150702,0,4150702
2044,36081152901,3,4152901
2045,36081152902,3,4152902
2046,36081155101,0,4155101
2047,36081155102,1,4155102
2048,36081156700,0,4156700
2049,36081157101,1,4157101
2050,36081157102,0,4157102
